pattern_name,source_file,source_budget,source_pattern_name,ori_idx,target_orientation_deg,start_timing_index,n_trials,steps_str
509,generated_pattern_registration_10budget_600ms.pkl,10,509,9,202.5,12,1,[0]ch8:dm-1;ch9:dm0;ch14:dm0;ch15:dm-1;ch36:dm0;ch54:dm-1;ch74:dm0;ch77:dm2;ch90:dm-1;ch93:dm2 | [1]ch9:dm0;ch11:dm0;ch13:dm-1;ch15:dm-1;ch36:dm0;ch47:dm-1;ch74:dm0;ch77:dm2;ch90:dm-1;ch93:dm2 | [2]ch9:dm0;ch13:dm-1;ch15:dm-1;ch20:dm0;ch36:dm0;ch47:dm-1;ch74:dm0;ch77:dm2;ch90:dm-1;ch93:dm2 | [3]ch36:dm2;ch77:dm2;ch90:dm-1;ch93:dm2 | [4]ch9:dm0;ch19:dm-1;ch20:dm0;ch36:dm2;ch77:dm2;ch79:dm-1;ch90:dm-1;ch93:dm2 | [5]ch8:dm0;ch9:dm1;ch19:dm-1;ch20:dm2;ch25:dm-1;ch36:dm2;ch57:dm1;ch66:dm-1;ch74:dm2;ch90:dm-1 | [6]ch8:dm0;ch9:dm1;ch14:dm0;ch25:dm-1;ch57:dm2;ch65:dm1;ch66:dm-1;ch71:dm-1 | [7]ch65:dm1;ch66:dm-1 | [8]ch66:dm-1;ch71:dm1 | [9]ch19:dm2;ch58:dm-1;ch71:dm-1
5013,generated_pattern_registration_10budget_600ms.pkl,10,5013,13,292.5,13,1,[0]ch8:dm-1;ch9:dm0;ch47:dm-1;ch57:dm0;ch74:dm0;ch77:dm2;ch83:dm0;ch84:dm-1;ch90:dm-1;ch93:dm2 | [1]ch9:dm0;ch57:dm-1;ch69:dm-1;ch74:dm0;ch77:dm2;ch83:dm2;ch84:dm-1 | [2]ch5:dm0;ch8:dm-1;ch9:dm0;ch47:dm-1;ch57:dm-1;ch69:dm-1;ch74:dm0;ch77:dm2;ch78:dm0;ch83:dm2 | [3]ch5:dm0;ch9:dm0;ch15:dm-1;ch47:dm-1;ch69:dm-1;ch74:dm0;ch77:dm2;ch82:dm0;ch83:dm2;ch93:dm-1 | [4]ch8:dm0;ch19:dm-1;ch36:dm2;ch57:dm0;ch74:dm0;ch77:dm2;ch79:dm-1;ch83:dm2;ch90:dm-1;ch93:dm-1 | [5]ch9:dm2;ch25:dm-1;ch41:dm-1;ch57:dm2;ch65:dm2;ch79:dm-1 | [6] | [7] | [8] | [9]
508,generated_pattern_registration_10budget_600ms.pkl,10,508,8,180.0,14,1,[0]ch8:dm-1;ch9:dm0;ch15:dm-1;ch36:dm0;ch47:dm-1;ch57:dm-1;ch74:dm0;ch77:dm2;ch84:dm0;ch93:dm2 | [1]ch9:dm0;ch13:dm-1;ch15:dm-1;ch36:dm0;ch69:dm-1;ch74:dm1;ch77:dm2;ch82:dm0;ch83:dm2 | [2]ch9:dm0;ch47:dm-1;ch69:dm-1;ch77:dm2;ch83:dm2 | [3]ch9:dm0;ch19:dm-1;ch20:dm0;ch36:dm2;ch77:dm2;ch79:dm-1;ch90:dm-1;ch93:dm2 | [4]ch9:dm1;ch15:dm-1;ch20:dm0;ch25:dm-1;ch36:dm2;ch57:dm1;ch66:dm-1;ch74:dm2;ch88:dm0;ch90:dm-1 | [5]ch20:dm-1;ch66:dm-1;ch71:dm-1;ch92:dm1 | [6] | [7] | [8] | [9]
501,generated_pattern_registration_10budget_600ms.pkl,10,501,1,22.5,15,1,[0]ch8:dm-1;ch9:dm0;ch14:dm0;ch15:dm-1;ch36:dm0;ch47:dm-1;ch74:dm0;ch77:dm2;ch90:dm-1;ch93:dm2 | [1]ch9:dm0;ch15:dm-1;ch36:dm0;ch65:dm-1;ch69:dm-1;ch74:dm1;ch77:dm2;ch83:dm2;ch93:dm0 | [2]ch9:dm0;ch15:dm-1;ch36:dm0;ch47:dm-1;ch58:dm0;ch69:dm-1;ch74:dm0;ch77:dm2;ch83:dm2;ch93:dm-1 | [3]ch36:dm2;ch77:dm2;ch90:dm-1;ch93:dm2 | [4]ch5:dm0;ch8:dm0;ch13:dm0;ch19:dm-1;ch20:dm-1;ch36:dm2;ch74:dm-1;ch77:dm2;ch90:dm-1;ch93:dm2 | [5]ch8:dm0;ch9:dm1;ch14:dm0;ch25:dm-1;ch57:dm2;ch65:dm1;ch66:dm-1;ch71:dm-1 | [6]ch65:dm1;ch66:dm-1 | [7]ch58:dm1;ch71:dm-1 | [8] | [9]
5015,generated_pattern_registration_10budget_600ms.pkl,10,5015,15,337.5,16,1,[0]ch8:dm-1;ch9:dm0;ch36:dm0;ch47:dm-1;ch57:dm-1;ch74:dm0;ch77:dm2;ch93:dm2 | [1]ch9:dm0;ch36:dm0;ch69:dm-1;ch74:dm1;ch77:dm2;ch78:dm0;ch83:dm2;ch84:dm-1;ch89:dm-1 | [2]ch74:dm-1;ch77:dm2;ch83:dm2 | [3]ch19:dm-1;ch20:dm0;ch36:dm2;ch57:dm2;ch74:dm-1;ch77:dm1;ch79:dm-1;ch82:dm0;ch90:dm-1;ch93:dm2 | [4]ch66:dm-1;ch71:dm1 | [5] | [6] | [7] | [8] | [9]
501002,generated_pattern_registration_4budget_600ms.pkl,4,502,2,45.0,17,1,[0]ch8:dm-1;ch74:dm0;ch77:dm2;ch93:dm2 | [1]ch69:dm-1;ch74:dm0;ch77:dm2;ch83:dm2 | [2]ch9:dm0;ch69:dm-1;ch77:dm2;ch83:dm2 | [3]ch9:dm0;ch77:dm2;ch83:dm2;ch89:dm-1 | [4]ch36:dm2;ch77:dm2;ch90:dm-1;ch93:dm2 | [5]ch20:dm-1;ch36:dm2;ch77:dm2;ch93:dm2 | [6]ch9:dm1;ch57:dm2;ch65:dm1;ch66:dm-1 | [7]ch65:dm1;ch66:dm-1 | [8]ch19:dm1;ch66:dm-1 | [9]ch1:dm-1;ch52:dm-1;ch58:dm1
501011,generated_pattern_registration_4budget_600ms.pkl,4,5011,11,247.5,18,1,[0]ch8:dm-1;ch74:dm0;ch77:dm2;ch93:dm2 | [1]ch69:dm-1;ch74:dm0;ch77:dm2;ch83:dm2 | [2]ch9:dm0;ch69:dm-1;ch77:dm2;ch83:dm2 | [3]ch9:dm0;ch69:dm-1;ch77:dm2;ch83:dm2 | [4]ch9:dm0;ch69:dm-1;ch77:dm2;ch83:dm2 | [5]ch19:dm-1;ch36:dm2;ch57:dm2;ch93:dm2 | [6]ch66:dm-1;ch78:dm1 | [7] | [8] | [9]
501003,generated_pattern_registration_4budget_600ms.pkl,4,503,3,67.5,19,1,[0]ch74:dm0;ch77:dm2;ch90:dm-1;ch93:dm2 | [1]ch69:dm-1;ch74:dm0;ch77:dm2;ch83:dm2 | [2]ch9:dm0;ch69:dm-1;ch77:dm2;ch83:dm2 | [3]ch9:dm0;ch69:dm-1;ch77:dm2;ch83:dm2 | [4]ch9:dm0;ch69:dm-1;ch77:dm2;ch83:dm2 | [5]ch74:dm-1;ch77:dm2;ch83:dm2 | [6]ch5:dm2;ch65:dm-1 | [7] | [8] | [9]
501010,generated_pattern_registration_4budget_600ms.pkl,4,5010,10,225.0,20,1,[0]ch74:dm0;ch77:dm2;ch90:dm-1;ch93:dm2 | [1]ch8:dm-1;ch74:dm0;ch77:dm2;ch93:dm2 | [2]ch74:dm0;ch77:dm2;ch90:dm-1;ch93:dm2 | [3]ch74:dm0;ch77:dm2;ch90:dm-1;ch93:dm2 | [4]ch74:dm0;ch77:dm2;ch90:dm-1;ch93:dm2 | [5]ch36:dm2;ch77:dm2;ch90:dm-1;ch93:dm2 | [6]ch9:dm1;ch57:dm2;ch65:dm1;ch66:dm-1 | [7]ch9:dm1;ch57:dm2;ch65:dm1;ch66:dm-1 | [8]ch65:dm1;ch66:dm-1 | [9]ch65:dm1;ch66:dm-1
501000,generated_pattern_registration_4budget_600ms.pkl,4,500,0,0.0,21,1,[0]ch8:dm-1;ch74:dm0;ch77:dm2;ch93:dm2 | [1]ch69:dm-1;ch74:dm0;ch77:dm2;ch83:dm2 | [2]ch9:dm0;ch77:dm2;ch83:dm2;ch89:dm-1 | [3]ch36:dm2;ch77:dm2;ch90:dm-1;ch93:dm2 | [4]ch9:dm1;ch57:dm2;ch65:dm1;ch66:dm-1 | [5]ch9:dm1;ch66:dm-1;ch92:dm1 | [6] | [7] | [8] | [9]
