run_dir,model_type,test_loss,test_corr,best_val_corr,total_params,trainable_params,epochs_trained,mean_pattern_corr,loo_avg_mean_corr,model_avg_mean_corr,neurons_model_beats_loo_avg,loo_temporal_mean_corr,model_temporal_mean_corr,neurons_model_beats_loo_temporal,experiment,status,kernel_sizes,weight_decay,conv_channels,history
results/hist_cnn_v3_2026-02-19_14-35-39/trial_0000_history=1,cnn,0.16044767582416533,0.28946903819992104,0.2953845873440109,163391,163391,50,0.7562854367928225,0.47275709111471625,0.6081191242933863,51,0.3815135061740875,0.2986907660961151,5,trial_0000_history=1,completed,[3],0.0,[256],1
results/hist_cnn_v3_2026-02-19_14-35-39/trial_0001_history=2,cnn,0.16348614037036896,0.2756455382995798,0.28389926825363493,163391,163391,50,0.7648564395764961,0.47275709111471625,0.6217667549603664,55,0.3815135061740875,0.28555828332901,4,trial_0001_history=2,completed,[3],0.0,[256],2
results/hist_cnn_v3_2026-02-19_14-35-39/trial_0002_history=3,cnn,0.169857724070549,0.23144519176779468,0.23445684640560066,163391,163391,50,0.7130192133833559,0.47275709111471625,0.5123490797739508,33,0.3815135061740875,0.23799999058246613,2,trial_0002_history=3,completed,[3],0.0,[256],3
results/hist_cnn_v3_2026-02-19_14-35-39/trial_0003_history=4,cnn,0.16959282040596008,0.23187365725438894,0.23305465346455528,163391,163391,50,0.6922456283266459,0.47275709111471625,0.5018086392193547,35,0.3815135061740875,0.23893406987190247,1,trial_0003_history=4,completed,[3],0.0,[256],4
results/hist_cnn_v3_2026-02-19_14-35-39/trial_0004_history=5,cnn,0.1728221733570099,0.21240843942223017,0.2090605255263163,163391,163391,50,0.6721292879644117,0.47275709111471625,0.43520537981755714,16,0.3815135061740875,0.21721380949020386,1,trial_0004_history=5,completed,[3],0.0,[256],5
results/hist_cnn_v3_2026-02-19_14-35-39/trial_0005_history=6,cnn,0.17347839617729188,0.20808342037363248,0.2047934106256333,163391,163391,42,0.6504834183190737,0.47275709111471625,0.4192332077057164,14,0.3815135061740875,0.2127901315689087,1,trial_0005_history=6,completed,[3],0.0,[256],6
results/hist_cnn_v3_2026-02-19_14-35-39/trial_0006_history=10,cnn,0.17384990513324738,0.20909967514116606,0.20554863308722499,163391,163391,46,0.6334647763583492,0.47275709111471625,0.4001284095195297,7,0.3815135061740875,0.21347011625766754,1,trial_0006_history=10,completed,[3],0.0,[256],10
results/hist_cnn_v3_2026-02-19_14-35-39/trial_0007_history=20,cnn,0.17346733391284944,0.2173041199087364,0.22107564792587647,163391,163391,50,0.6037671044870733,0.47275709111471625,0.3892449080592637,8,0.3815135061740875,0.22172293066978455,0,trial_0007_history=20,completed,[3],0.0,[256],20
results/hist_cnn_v3_2026-02-19_14-35-39/trial_0008_history=1,cnn,0.16055797362327576,0.2886899503743343,0.2957471563808476,163391,163391,50,0.7630880281475612,0.47275709111471625,0.6135264475902021,52,0.3815135061740875,0.2982216775417328,5,trial_0008_history=1,completed,[3],0.0001,[256],1
results/hist_cnn_v3_2026-02-19_14-35-39/trial_0009_history=2,cnn,0.16326097869873046,0.275997626611344,0.28381886147828,163391,163391,50,0.7675413582173168,0.47275709111471625,0.6247479807337313,56,0.3815135061740875,0.2859332859516144,4,trial_0009_history=2,completed,[3],0.0001,[256],2
results/hist_cnn_v3_2026-02-19_14-35-39/trial_0010_history=3,cnn,0.16967906653881074,0.2344835293005268,0.23413847265439527,163391,163391,50,0.7155066375343524,0.47275709111471625,0.5192351309015864,34,0.3815135061740875,0.24156922101974487,1,trial_0010_history=3,completed,[3],0.0001,[256],3
results/hist_cnn_v3_2026-02-19_14-35-39/trial_0011_history=4,cnn,0.16970453476905822,0.23183035665951,0.2329838678715682,163391,163391,50,0.6947492297626627,0.47275709111471625,0.5060501439901823,32,0.3815135061740875,0.23920384049415588,1,trial_0011_history=4,completed,[3],0.0001,[256],4
results/hist_cnn_v3_2026-02-19_14-35-39/trial_0012_history=5,cnn,0.17314456117153168,0.21100067971575867,0.20647384537503613,163391,163391,50,0.6478447197951853,0.47275709111471625,0.42836223354011044,16,0.3815135061740875,0.21531938016414642,1,trial_0012_history=5,completed,[3],0.0001,[256],5
results/hist_cnn_v3_2026-02-19_14-35-39/trial_0013_history=6,cnn,0.17324141621589662,0.2082502426693983,0.20490494095528478,163391,163391,42,0.6602366279071714,0.47275709111471625,0.4239791673213149,14,0.3815135061740875,0.21263571083545685,1,trial_0013_history=6,completed,[3],0.0001,[256],6
results/hist_cnn_v3_2026-02-19_14-35-39/trial_0014_history=10,cnn,0.1734925229549408,0.21008659482339076,0.20638626511291122,163391,163391,50,0.6449693390112041,0.47275709111471625,0.41249923996885746,11,0.3815135061740875,0.21462731063365936,1,trial_0014_history=10,completed,[3],0.0001,[256],10
results/hist_cnn_v3_2026-02-19_14-35-39/trial_0015_history=20,cnn,0.17319812560081482,0.21786802261443025,0.2191686632883364,163391,163391,50,0.6053694837414946,0.47275709111471625,0.3878816668943371,10,0.3815135061740875,0.22180680930614471,0,trial_0015_history=20,completed,[3],0.0001,[256],20
results/hist_cnn_v3_2026-02-19_14-35-39/trial_0016_history=1,cnn,0.16089053976535797,0.2848085639559997,0.29185704863621764,217151,217151,47,0.7611475843508927,0.47275709111471625,0.618343159920535,52,0.3815135061740875,0.2948721647262573,5,trial_0016_history=1,completed,[5],0.0,[256],1
results/hist_cnn_v3_2026-02-19_14-35-39/trial_0017_history=2,cnn,0.16189869570732116,0.2827408326610073,0.2900626537509674,217151,217151,42,0.7616058881593443,0.47275709111471625,0.6188668026867955,54,0.3815135061740875,0.29298681020736694,5,trial_0017_history=2,completed,[5],0.0,[256],2
results/hist_cnn_v3_2026-02-19_14-35-39/trial_0018_history=3,cnn,0.16768640434741974,0.24475385440214265,0.24657572733804956,217151,217151,50,0.6962578062453443,0.47275709111471625,0.5029280767594742,31,0.3815135061740875,0.25249218940734863,2,trial_0018_history=3,completed,[5],0.0,[256],3
results/hist_cnn_v3_2026-02-19_14-35-39/trial_0019_history=4,cnn,0.16882675909996034,0.2355344703329415,0.23670985626259194,217151,217151,46,0.6963519293152052,0.47275709111471625,0.5045858532107562,30,0.3815135061740875,0.24275782704353333,1,trial_0019_history=4,completed,[5],0.0,[256],4
