model_type,test_loss,test_corr,best_val_corr,total_params,trainable_params,epochs_trained,mean_pattern_corr,loo_mean_corr,model_sample_mean_corr,neurons_model_beats_loo,experiment,status,kernel_sizes,learning_rate,weight_decay,conv_channels,sweep_name
cnn,0.1788116141557693,0.2587591994135231,0.2538068168146448,109631,109631,50,0.6500994208629669,0.4727570911147162,0.4478376373687924,25,trial_0026_learning_rate=0.01,completed,[1],0.01,0.0,[256],base_cnn_kernel_sweep
cnn,0.178428067445755,0.2591759164350242,0.2552057935391893,39743,39743,50,0.6532126630260652,0.4727570911147162,0.4475928665852437,23,trial_0027_learning_rate=0.01,completed,[1],0.01,1e-05,[64],base_cnn_kernel_sweep
cnn,0.1784143321514129,0.2618214028336745,0.2575011292565968,63039,63039,50,0.6523113396373208,0.4727570911147162,0.4515349906347181,26,trial_0028_learning_rate=0.01,completed,[1],0.01,1e-05,[128],base_cnn_kernel_sweep
cnn,0.1790034661293029,0.2556101747867173,0.2542811786752827,109631,109631,50,0.6480639596071149,0.4727570911147162,0.4480122123999473,24,trial_0029_learning_rate=0.01,completed,[1],0.01,1e-05,[256],base_cnn_kernel_sweep
cnn,0.1787934708595276,0.2550690750130249,0.2536432469016314,39743,39743,50,0.6471473313560288,0.4727570911147162,0.4435185639553147,24,trial_0030_learning_rate=0.01,completed,[1],0.01,0.0001,[64],base_cnn_kernel_sweep
cnn,0.1783921855688095,0.2591097719270629,0.2556648186329954,63039,63039,50,0.6424409754368751,0.4727570911147162,0.4480734784707763,24,trial_0031_learning_rate=0.01,completed,[1],0.01,0.0001,[128],base_cnn_kernel_sweep
cnn,0.178974558353424,0.2559909379855252,0.255648176918037,109631,109631,45,0.6446881442114242,0.4727570911147162,0.4486929650202257,25,trial_0032_learning_rate=0.01,completed,[1],0.01,0.0001,[256],base_cnn_kernel_sweep
cnn,0.1786174437999725,0.2582926439935595,0.2545351907531088,39743,39743,50,0.6475352798133489,0.4727570911147162,0.4384438414905835,22,trial_0033_learning_rate=0.01,completed,[1],0.01,0.001,[64],base_cnn_kernel_sweep
cnn,0.1785824365615844,0.2581850668274106,0.2561943955158114,63039,63039,50,0.6431353678884725,0.4727570911147162,0.4440955625158037,24,trial_0034_learning_rate=0.01,completed,[1],0.01,0.001,[128],base_cnn_kernel_sweep
cnn,0.1789406601190567,0.2578797021211627,0.2553844194309242,109631,109631,50,0.6554728375141845,0.4727570911147162,0.4534276476426609,26,trial_0035_learning_rate=0.01,completed,[1],0.01,0.001,[256],base_cnn_kernel_sweep
cnn,0.1688423709869384,0.3132636634509159,0.3184648930360976,53183,53183,50,0.6381749768370765,0.4727570911147162,0.5378612841857981,40,trial_0036_learning_rate=1.0e-04,completed,[3],0.0001,0.0,[64],base_cnn_kernel_sweep
cnn,0.165472165107727,0.3344507120315982,0.3409525718483723,89919,89919,50,0.699034245462449,0.4727570911147162,0.5885089933144696,50,trial_0037_learning_rate=1.0e-04,completed,[3],0.0001,0.0,[128],base_cnn_kernel_sweep
cnn,0.1635589454174041,0.34786803148214,0.3538823686944,163391,163391,50,0.7253174842565193,0.4727570911147162,0.6086493900932407,53,trial_0038_learning_rate=1.0e-04,completed,[3],0.0001,0.0,[256],base_cnn_kernel_sweep
cnn,0.1685469405651092,0.3143100063337755,0.3205204187669617,53183,53183,50,0.6436548228179891,0.4727570911147162,0.5424254465568527,39,trial_0039_learning_rate=1.0e-04,completed,[3],0.0001,1e-05,[64],base_cnn_kernel_sweep
cnn,0.1654793246984481,0.3349312437861666,0.3399186620567192,89919,89919,50,0.6932497347183905,0.4727570911147162,0.5815375009409787,49,trial_0040_learning_rate=1.0e-04,completed,[3],0.0001,1e-05,[128],base_cnn_kernel_sweep
cnn,0.1637857745885849,0.3456320513140734,0.352827765029453,163391,163391,50,0.7306946134869848,0.4727570911147162,0.6140533992178202,52,trial_0041_learning_rate=1.0e-04,completed,[3],0.0001,1e-05,[256],base_cnn_kernel_sweep
cnn,0.168436231970787,0.3148126495519919,0.3207575759937591,53183,53183,50,0.6409161170393658,0.4727570911147162,0.5407344843300544,39,trial_0042_learning_rate=1.0e-04,completed,[3],0.0001,0.0001,[64],base_cnn_kernel_sweep
cnn,0.1655785591602325,0.3336407887302157,0.3391396075917758,89919,89919,50,0.6879664051132324,0.4727570911147162,0.5804229272121925,50,trial_0043_learning_rate=1.0e-04,completed,[3],0.0001,0.0001,[128],base_cnn_kernel_sweep
cnn,0.1635666790008545,0.3469479833438237,0.3543111621428198,163391,163391,50,0.727218767515021,0.4727570911147162,0.613757754082767,53,trial_0044_learning_rate=1.0e-04,completed,[3],0.0001,0.0001,[256],base_cnn_kernel_sweep
cnn,0.1683009598255157,0.3159038229225996,0.3214344601280826,53183,53183,50,0.6400530908672614,0.4727570911147162,0.5382591820467212,39,trial_0045_learning_rate=1.0e-04,completed,[3],0.0001,0.001,[64],base_cnn_kernel_sweep
cnn,0.1657736506462097,0.3338736031724253,0.3390465010343579,89919,89919,50,0.6937424147707132,0.4727570911147162,0.5851331125151941,49,trial_0046_learning_rate=1.0e-04,completed,[3],0.0001,0.001,[128],base_cnn_kernel_sweep
cnn,0.1636013267040252,0.3469655918968197,0.354323851264636,163391,163391,50,0.7301881879369826,0.4727570911147162,0.6138357374700917,53,trial_0047_learning_rate=1.0e-04,completed,[3],0.0001,0.001,[256],base_cnn_kernel_sweep
cnn,0.1633225882053375,0.3471380539406505,0.3522667195190397,53183,53183,50,0.7008340455705159,0.4727570911147162,0.558021086882683,46,trial_0048_learning_rate=1.0e-03,completed,[3],0.001,0.0,[64],base_cnn_kernel_sweep
cnn,0.161718892455101,0.3594020097652836,0.3657023786044079,89919,89919,50,0.7384756653521345,0.4727570911147162,0.5925208668835473,50,trial_0049_learning_rate=1.0e-03,completed,[3],0.001,0.0,[128],base_cnn_kernel_sweep
cnn,0.1613062368631363,0.366426185968069,0.3705040876331517,163391,163391,50,0.7666252697566912,0.4727570911147162,0.6160036017543886,52,trial_0050_learning_rate=1.0e-03,completed,[3],0.001,0.0,[256],base_cnn_kernel_sweep
cnn,0.1631709244251251,0.3479631146258048,0.3534200403314533,53183,53183,50,0.7039625929420775,0.4727570911147162,0.560119522592956,47,trial_0051_learning_rate=1.0e-03,completed,[3],0.001,1e-05,[64],base_cnn_kernel_sweep
cnn,0.1617239886522293,0.3589515224175184,0.3651486821940541,89919,89919,50,0.7352200004602679,0.4727570911147162,0.5881835439852663,52,trial_0052_learning_rate=1.0e-03,completed,[3],0.001,1e-05,[128],base_cnn_kernel_sweep
cnn,0.1612176787853241,0.3659016780957314,0.3711027108357204,163391,163391,50,0.7646500174136449,0.4727570911147162,0.612321505205874,53,trial_0053_learning_rate=1.0e-03,completed,[3],0.001,1e-05,[256],base_cnn_kernel_sweep
cnn,0.163415626168251,0.3477082397981612,0.3516871433062404,53183,53183,50,0.6987951402837258,0.4727570911147162,0.5627573161702453,47,trial_0054_learning_rate=1.0e-03,completed,[3],0.001,0.0001,[64],base_cnn_kernel_sweep
cnn,0.1617821476459503,0.3604364508928295,0.3649280147604486,89919,89919,50,0.7348612223673601,0.4727570911147162,0.587581206742631,50,trial_0055_learning_rate=1.0e-03,completed,[3],0.001,0.0001,[128],base_cnn_kernel_sweep
cnn,0.1613592344522476,0.3642401857034819,0.3698204422804625,163391,163391,50,0.7602914631069816,0.4727570911147162,0.6139669909541664,53,trial_0056_learning_rate=1.0e-03,completed,[3],0.001,0.0001,[256],base_cnn_kernel_sweep
cnn,0.1635698306560516,0.3464858450068698,0.352307144914425,53183,53183,50,0.6970857324350109,0.4727570911147162,0.5531384044368209,45,trial_0057_learning_rate=1.0e-03,completed,[3],0.001,0.001,[64],base_cnn_kernel_sweep
cnn,0.1617375178337097,0.3598857177923364,0.3656813506117373,89919,89919,50,0.7384957223150508,0.4727570911147162,0.5900490075008242,50,trial_0058_learning_rate=1.0e-03,completed,[3],0.001,0.001,[128],base_cnn_kernel_sweep
cnn,0.1611297072172164,0.3661794355530919,0.3702290173967766,163391,163391,50,0.7678035666416881,0.4727570911147162,0.6158913931154776,53,trial_0059_learning_rate=1.0e-03,completed,[3],0.001,0.001,[256],base_cnn_kernel_sweep
cnn,0.1636756615638732,0.3451380352670674,0.3494161630674116,53183,53183,43,0.6783731135095438,0.4727570911147162,0.5305127389220458,40,trial_0060_learning_rate=0.01,completed,[3],0.01,0.0,[64],base_cnn_kernel_sweep
cnn,0.1614580583572387,0.3606053469239826,0.3655292517502984,89919,89919,50,0.7312896489907853,0.4727570911147162,0.5674026754195234,46,trial_0061_learning_rate=0.01,completed,[3],0.01,0.0,[128],base_cnn_kernel_sweep
cnn,0.1623886207342147,0.3587258316420047,0.3639855522329416,163391,163391,50,0.7411988383337355,0.4727570911147162,0.5751535120503557,50,trial_0062_learning_rate=0.01,completed,[3],0.01,0.0,[256],base_cnn_kernel_sweep
cnn,0.162716984629631,0.3489705026867047,0.3545671188153922,53183,53183,50,0.7052098815682499,0.4727570911147162,0.5478371313594775,43,trial_0063_learning_rate=0.01,completed,[3],0.01,1e-05,[64],base_cnn_kernel_sweep
cnn,0.1617439779043197,0.3589267646248309,0.364118361348746,89919,89919,50,0.7231396419181959,0.4727570911147162,0.5619664156336587,44,trial_0064_learning_rate=0.01,completed,[3],0.01,1e-05,[128],base_cnn_kernel_sweep
cnn,0.1622859125137329,0.3588160350919069,0.3640080088147007,163391,163391,50,0.742300976801174,0.4727570911147162,0.5765850741613568,48,trial_0065_learning_rate=0.01,completed,[3],0.01,1e-05,[256],base_cnn_kernel_sweep
cnn,0.1625969732999801,0.3495854731499039,0.3559571114038356,53183,53183,50,0.6958482589721223,0.4727570911147162,0.5407544618015804,40,trial_0066_learning_rate=0.01,completed,[3],0.01,0.0001,[64],base_cnn_kernel_sweep
