model_type,test_loss,test_corr,best_val_corr,total_params,trainable_params,epochs_trained,mean_pattern_corr,loo_avg_mean_corr,model_avg_mean_corr,neurons_model_beats_loo_avg,loo_temporal_mean_corr,model_temporal_mean_corr,neurons_model_beats_loo_temporal,experiment,status,kernel_sizes,weight_decay,conv_channels,sweep_name
cnn,0.2027004005908966,0.0001381354723431,0.0070605563137818,54975,54975,27,0.0922496128051056,0.4727570911147162,0.0682043269698786,0,0.3815135061740875,0.0464782305061817,0,trial_0000,completed,[1],0.0,[128],base_cnn_sweep3
cnn,0.2033646690845489,0.0009434328815341,0.0067596109567101,93503,93503,26,0.0115638593522394,0.4727570911147162,-0.0025252170021757,0,0.3815135061740875,0.0130968336015939,0,trial_0001,completed,[1],0.0,[256],base_cnn_sweep3
cnn,0.2027072184085846,-0.000411118901565,0.0061614883569955,54975,54975,27,0.0649504287330643,0.4727570911147162,0.0565210727829842,0,0.3815135061740875,0.0364140532910823,0,trial_0002,completed,[1],0.0001,[128],base_cnn_sweep3
cnn,0.203149554491043,0.0008073963670622,0.0080863161528341,93503,93503,28,0.0658083172704438,0.4727570911147162,0.0585297853668429,0,0.3815135061740875,0.0457765720784664,0,trial_0003,completed,[1],0.0001,[256],base_cnn_sweep3
cnn,0.174546881198883,0.2034639850838575,0.1990250498010359,65727,65727,50,0.601472920006464,0.4727570911147162,0.3501615062532831,2,0.3815135061740875,0.2049972414970398,0,trial_0004,completed,[3],0.0,[128],base_cnn_sweep3
cnn,0.1744397268295288,0.2037314668465586,0.2002275922898596,115007,115007,45,0.6125080033405228,0.4727570911147162,0.3571322544467786,2,0.3815135061740875,0.2053988873958587,0,trial_0005,completed,[3],0.0,[256],base_cnn_sweep3
cnn,0.174553538441658,0.2038244406504931,0.1984343756063549,65727,65727,50,0.600495065045256,0.4727570911147162,0.3497871011118512,2,0.3815135061740875,0.2054139226675033,0,trial_0006,completed,[3],0.0001,[128],base_cnn_sweep3
cnn,0.1743992284536361,0.2043559121622904,0.2012463357274355,115007,115007,38,0.6168528475257432,0.4727570911147162,0.3589476878102834,2,0.3815135061740875,0.2060552388429641,0,trial_0007,completed,[3],0.0001,[256],base_cnn_sweep3
cnn,0.1736314377784729,0.205685018672849,0.2010457370228206,71103,71103,50,0.597475237932649,0.4727570911147162,0.3475448886106435,2,0.3815135061740875,0.2073227167129516,0,trial_0008,completed,[4],0.0,[128],base_cnn_sweep3
cnn,0.1734798837900161,0.2093870596545886,0.2031341085939877,125759,125759,45,0.6103816944423931,0.4727570911147162,0.3559018346683595,2,0.3815135061740875,0.2108962535858154,0,trial_0009,completed,[4],0.0,[256],base_cnn_sweep3
cnn,0.1735218812227249,0.2072468230616706,0.2011401115007383,71103,71103,49,0.6079821362711298,0.4727570911147162,0.3524991796731476,2,0.3815135061740875,0.2090998739004135,0,trial_0010,completed,[4],0.0001,[128],base_cnn_sweep3
cnn,0.173647623181343,0.2084164275827894,0.2042256582451312,125759,125759,44,0.6137957062477011,0.4727570911147162,0.3573627633685006,2,0.3815135061740875,0.2099391967058181,0,trial_0011,completed,[4],0.0001,[256],base_cnn_sweep3
cnn,0.1737943814992904,0.2084660287049766,0.2014759928642713,76479,76479,50,0.6121195980597617,0.4727570911147162,0.3540305326206205,2,0.3815135061740875,0.2101446539163589,0,trial_0012,completed,[5],0.0,[128],base_cnn_sweep3
cnn,0.1736154571771621,0.2074896211300338,0.2033841489424004,136511,136511,41,0.6191803535842044,0.4727570911147162,0.3593241679443136,2,0.3815135061740875,0.2091949731111526,0,trial_0013,completed,[5],0.0,[256],base_cnn_sweep3
cnn,0.1739523501396179,0.2050704541457637,0.2025367844780635,76479,76479,50,0.607062099787727,0.4727570911147162,0.3514165873860827,2,0.3815135061740875,0.206647977232933,0,trial_0014,completed,[5],0.0001,[128],base_cnn_sweep3
cnn,0.173665053486824,0.2074922146012381,0.2036400645664405,136511,136511,44,0.6221462381944595,0.4727570911147162,0.3601908030209497,2,0.3815135061740875,0.2090423703193664,0,trial_0015,completed,[5],0.0001,[256],base_cnn_sweep3
cnn,0.1734167023897171,0.2047386749828933,0.2026655203132179,103359,103359,50,0.6266910949778085,0.4727570911147162,0.3574522259104915,4,0.3815135061740875,0.2062059342861175,0,trial_0016,completed,[10],0.0,[128],base_cnn_sweep3
cnn,0.1727018367052078,0.2083958224870032,0.203410612414791,190271,190271,40,0.6267528331075057,0.4727570911147162,0.3594965599565045,4,0.3815135061740875,0.2097478508949279,0,trial_0017,completed,[10],0.0,[256],base_cnn_sweep3
cnn,0.1731569945812225,0.2056631967561051,0.2019933634935218,103359,103359,50,0.6271626388946767,0.4727570911147162,0.3580446740512338,4,0.3815135061740875,0.206759512424469,0,trial_0018,completed,[10],0.0001,[128],base_cnn_sweep3
cnn,0.1721635357141494,0.2118836349042913,0.2043972136372529,190271,190271,40,0.6420418386030329,0.4727570911147162,0.3667024823559672,3,0.3815135061740875,0.2131531983613968,0,trial_0019,completed,[10],0.0001,[256],base_cnn_sweep3
cnn,0.1729538787603378,0.2097647672088767,0.2073885361450746,157119,157119,50,0.6134176084089116,0.4727570911147162,0.3477295627313098,5,0.3815135061740875,0.2111498862504959,0,trial_0020,completed,[20],0.0,[128],base_cnn_sweep3
cnn,0.1726280224323272,0.2127693539770841,0.2113997978828148,297791,297791,43,0.6179908551969087,0.4727570911147162,0.351820038360098,3,0.3815135061740875,0.2141396105289459,0,trial_0021,completed,[20],0.0,[256],base_cnn_sweep3
cnn,0.1728780061006546,0.2078616268037503,0.2072776836136975,157119,157119,50,0.6064012098694928,0.4727570911147162,0.342571965052165,5,0.3815135061740875,0.2091377079486847,0,trial_0022,completed,[20],0.0001,[128],base_cnn_sweep3
cnn,0.1726759723424911,0.2114360123559607,0.2105066373357918,297791,297791,47,0.6185667052544406,0.4727570911147162,0.3515237701608366,4,0.3815135061740875,0.2123869657516479,0,trial_0023,completed,[20],0.0001,[256],base_cnn_sweep3
cnn,0.1748884636163711,0.2065081197007185,0.2041526617109892,372159,372159,42,0.4817423557563765,0.4727570911147162,0.2756891302314787,2,0.3815135061740875,0.2077190279960632,0,trial_0024,completed,[60],0.0,[128],base_cnn_sweep3
cnn,0.1736787368059158,0.2183599381724358,0.2077073840005821,727871,727871,31,0.499583183194299,0.4727570911147162,0.2884883123640823,2,0.3815135061740875,0.2201270014047622,0,trial_0025,completed,[60],0.0,[256],base_cnn_sweep3
cnn,0.1747380607128143,0.2093070057971949,0.202519217273438,372159,372159,50,0.5077552389066089,0.4727570911147162,0.2892682971342191,2,0.3815135061740875,0.2113973200321197,0,trial_0026,completed,[60],0.0001,[128],base_cnn_sweep3
cnn,0.1742256306409836,0.2140900017324207,0.2084454590234392,727871,727871,37,0.5070655419868355,0.4727570911147162,0.292483404633925,2,0.3815135061740875,0.2160253375768661,0,trial_0027,completed,[60],0.0001,[256],base_cnn_sweep3
