config_id,best_val_loss_mean,best_val_loss_sem,best_val_loss_count,best_val_corr_mean,best_val_corr_sem,best_val_corr_count,best_epoch_mean,best_epoch_sem,best_epoch_count,test_loss_mean,test_loss_sem,test_loss_count,test_corr_mean,test_corr_sem,test_corr_count,n_params_mean,n_params_sem,n_params_count,n_train_mean,n_train_sem,n_train_count,n_val_mean,n_val_sem,n_val_count,n_test_mean,n_test_sem,n_test_count,n_epochs_run_mean,n_epochs_run_sem,n_epochs_run_count,train_seconds_mean,train_seconds_sem,train_seconds_count,seed_mean,seed_sem,seed_count,wall_time_s_mean,wall_time_s_sem,wall_time_s_count,gpu_id_mean,gpu_id_sem,gpu_id_count
f2ccc74cbf,0.19377931972344717,0.014107263882954912,2,0.12016891089462114,0.06952269564104127,2,28.0,22.0,2,0.19528261917829515,0.01203604727983474,2,0.10469840457134735,0.06439563441760218,2,3588671.0,0.0,2,2400.0,0.0,2,600.0,0.0,2,1000.0,0.0,2,29.5,20.5,2,6.550000000000001,4.25,2,0.5,0.5,2,7.35,4.25,2,0.5,0.5,2
f4051ba28b,0.18672244250774384,0.01174574057261149,2,0.14814308547535493,0.0630166849204932,2,28.5,21.5,2,0.1892185605764389,0.007532159447669995,2,0.12846486683712577,0.05340094449665987,2,3703871.0,0.0,2,2400.0,0.0,2,600.0,0.0,2,1000.0,0.0,2,30.0,20.0,2,6.75,4.15,2,0.5,0.5,2,7.55,4.15,2,0.5,0.5,2
f4859b75e4,0.1933934459090233,0.0002676207820574497,2,0.12754958361771995,0.00202371615995902,2,16.0,0.0,2,0.19416429781913758,0.00011501860618592236,2,0.11122959440220367,0.0021124166160649514,2,392767.0,0.0,2,2400.0,0.0,2,600.0,0.0,2,1000.0,0.0,2,19.0,0.0,2,2.7,0.0,2,0.5,0.5,2,3.5,0.0,2,0.5,0.5,2
f71e5f8e82,0.17268252869447073,0.00017256816228231053,2,0.22877803189079582,0.0019684567995294153,2,49.0,0.0,2,0.17882270139455797,0.0003737244009971649,2,0.19797068657320627,0.002813216426373062,2,679999.0,0.0,2,2400.0,0.0,2,600.0,0.0,2,1000.0,0.0,2,50.0,0.0,2,6.45,0.04999999999999982,2,0.5,0.5,2,7.2,0.0,2,0.5,0.5,2
f7a03c8fcc,0.1959399017691612,0.023236719071865065,2,0.13855642831754095,0.09014856406341817,2,23.0,22.0,2,0.19877577018737794,0.019985378980636598,2,0.12053626587061858,0.07498450404617071,2,2049087.0,0.0,2,2400.0,0.0,2,600.0,0.0,2,1000.0,0.0,2,26.0,22.0,2,5.0,3.8000000000000003,2,0.5,0.5,2,5.8,3.8,2,0.5,0.5,2
f7be24d83b,0.19344331125418346,0.014563694993654876,2,0.12228115755708793,0.07204883423910349,2,28.0,22.0,2,0.1950514452457428,0.012383292913436879,2,0.1062475329017549,0.06635483605470734,2,3588671.0,0.0,2,2400.0,0.0,2,600.0,0.0,2,1000.0,0.0,2,29.5,20.5,2,6.550000000000001,4.25,2,0.5,0.5,2,7.4,4.199999999999999,2,0.5,0.5,2
f8db767479,0.1744968526562055,5.347043275832908e-05,2,0.21936411584257776,0.0034442648706173584,2,49.5,0.5,2,0.17983066374063492,0.000322593271732341,2,0.1884714876010547,0.0030033696213099467,2,1024319.0,0.0,2,2400.0,0.0,2,600.0,0.0,2,1000.0,0.0,2,50.0,0.0,2,6.800000000000001,0.10000000000000031,2,0.5,0.5,2,7.6,0.09999999999999987,2,0.5,0.5,2
fabc5df96c,0.17299365222454072,0.0021158323685328204,2,0.23256612792444017,0.01482334567749935,2,43.5,6.5,2,0.17752752375602723,0.0020761477947235096,2,0.2032025261695134,0.013024601643500118,2,413247.0,0.0,2,2400.0,0.0,2,600.0,0.0,2,1000.0,0.0,2,45.0,5.0,2,5.55,0.4500000000000002,2,0.5,0.5,2,6.4,0.3999999999999997,2,0.5,0.5,2
fbd5dfbb93,0.1953055841724078,0.0008453813195228588,2,0.1112345630289763,0.002696908304861672,2,21.5,2.5,2,0.1955703766942024,0.0005620240569114629,2,0.09611177750453784,0.003799864986449592,2,841791.0,0.0,2,2400.0,0.0,2,600.0,0.0,2,1000.0,0.0,2,24.5,2.5,2,3.5,0.2999999999999998,2,0.5,0.5,2,4.25,0.35,2,0.5,0.5,2
fcef5cead8,0.18056701133648556,0.0029511965314547098,2,0.18849697272935673,0.01657150378819009,2,40.0,9.0,2,0.1845373178720474,0.001448407411575335,2,0.1618064989845178,0.013235853510217416,2,710719.0,0.0,2,2400.0,0.0,2,600.0,0.0,2,1000.0,0.0,2,42.0,8.0,2,5.5,0.9000000000000004,2,0.5,0.5,2,6.25,0.9500000000000002,2,0.5,0.5,2
fd88000249,0.17521446486314138,0.0013015043735504217,2,0.21864033863897697,0.00011939525496026254,2,49.0,1.0,2,0.18148679453134536,0.0013227621912956233,2,0.18723571853171786,0.0003385662412882795,2,1024319.0,0.0,2,2400.0,0.0,2,600.0,0.0,2,1000.0,0.0,2,50.0,0.0,2,6.65,0.050000000000000044,2,0.5,0.5,2,7.45,0.04999999999999982,2,0.5,0.5,2
fe09da8f9a,0.167080154021581,0.0003789750734965111,2,0.26837347675652534,7.498290434129751e-06,2,49.5,0.5,2,0.1734512749314308,7.489591836928877e-05,2,0.23226934678390904,0.0006935964741531034,2,1186879.0,0.0,2,2400.0,0.0,2,600.0,0.0,2,1000.0,0.0,2,50.0,0.0,2,7.55,0.04999999999999982,2,0.5,0.5,2,8.350000000000001,0.04999999999999938,2,0.5,0.5,2
ff36d3c879,0.18393033574024836,0.00015239526828131345,2,0.17658309734307837,0.0017580068492981174,2,48.5,0.5,2,0.18611339330673216,1.0077357292186118e-05,2,0.15419897603519214,0.0012254761017201077,2,726591.0,0.0,2,2400.0,0.0,2,600.0,0.0,2,1000.0,0.0,2,50.0,0.0,2,6.15,0.05000000000000049,2,0.5,0.5,2,6.95,0.04999999999999982,2,0.5,0.5,2
