model_type,test_loss,test_corr,best_val_corr,total_params,trainable_params,epochs_trained,mean_pattern_corr,loo_avg_mean_corr,model_avg_mean_corr,neurons_model_beats_loo_avg,loo_temporal_mean_corr,model_temporal_mean_corr,neurons_model_beats_loo_temporal,experiment,status,_arch,sweep_name
cnn,0.1612611035108566,0.282946395239932,0.287405252195652,98303,98303,50,0.707821546430385,0.4727570911147162,0.5420589894129348,43,0.3815135061740875,0.290907472372055,4,trial_0015_history=2_kernel_sizes=3x3_conv_channels=128x64_fc_dims=256,completed,"{'kernel_sizes': [3, 3], 'conv_channels': [128, 64], 'fc_dims': [256], 'history': 2}",multilayer_cnn_hist_sweep
cnn,0.1603112815618515,0.2837314070735276,0.2886457030686919,141567,141567,50,0.7025852507827008,0.4727570911147162,0.5361798368043242,41,0.3815135061740875,0.2930515110492706,5,trial_0016_history=2_kernel_sizes=5x5_conv_channels=128x64_fc_dims=256,completed,"{'kernel_sizes': [5, 5], 'conv_channels': [128, 64], 'fc_dims': [256], 'history': 2}",multilayer_cnn_hist_sweep
cnn,0.1602956453561783,0.2767124659330378,0.2809286563809501,249727,249727,50,0.6913271989211607,0.4727570911147162,0.5282418377896357,41,0.3815135061740875,0.2875546216964721,5,trial_0017_history=2_kernel_sizes=10x10_conv_channels=128x64_fc_dims=256,completed,"{'kernel_sizes': [10, 10], 'conv_channels': [128, 64], 'fc_dims': [256], 'history': 2}",multilayer_cnn_hist_sweep
cnn,0.1597151081562042,0.2878273509830745,0.2937309142044092,114687,114687,50,0.7129375262010312,0.4727570911147162,0.5451415444209536,42,0.3815135061740875,0.2968487441539764,5,trial_0018_history=2_kernel_sizes=3x5_conv_channels=128x64_fc_dims=256,completed,"{'kernel_sizes': [3, 5], 'conv_channels': [128, 64], 'fc_dims': [256], 'history': 2}",multilayer_cnn_hist_sweep
cnn,0.1587695233821869,0.2861227543504957,0.2916467297591802,182527,182527,50,0.6947730110153635,0.4727570911147162,0.5325250165783466,39,0.3815135061740875,0.2961891889572143,7,trial_0019_history=2_kernel_sizes=5x10_conv_channels=128x64_fc_dims=256,completed,"{'kernel_sizes': [5, 10], 'conv_channels': [128, 64], 'fc_dims': [256], 'history': 2}",multilayer_cnn_hist_sweep
cnn,0.171329378247261,0.2240379213809261,0.2235801219854315,229311,229311,47,0.6697163377243702,0.4727570911147162,0.4248195511170395,15,0.3815135061740875,0.2291887253522873,1,trial_0020_history=5_kernel_sizes=3x3_conv_channels=256x128_fc_dims=256,completed,"{'kernel_sizes': [3, 3], 'conv_channels': [256, 128], 'fc_dims': [256], 'history': 5}",multilayer_cnn_hist_sweep
cnn,0.1701062666177749,0.2281030829743816,0.2308643827944556,348607,348607,42,0.6691859357660213,0.4727570911147162,0.441314707622312,20,0.3815135061740875,0.2348803728818893,1,trial_0021_history=5_kernel_sizes=5x5_conv_channels=256x128_fc_dims=256,completed,"{'kernel_sizes': [5, 5], 'conv_channels': [256, 128], 'fc_dims': [256], 'history': 5}",multilayer_cnn_hist_sweep
cnn,0.1681993985176086,0.2321686769405428,0.2367293687210484,646847,646847,32,0.6229115780082127,0.4727570911147162,0.4406522010301341,20,0.3815135061740875,0.2425014227628708,2,trial_0022_history=5_kernel_sizes=10x10_conv_channels=256x128_fc_dims=256,completed,"{'kernel_sizes': [10, 10], 'conv_channels': [256, 128], 'fc_dims': [256], 'history': 5}",multilayer_cnn_hist_sweep
cnn,0.1699702997207641,0.2277307669381823,0.227258006379452,294847,294847,45,0.6639657208378753,0.4727570911147162,0.4376529350002015,18,0.3815135061740875,0.2337685972452163,1,trial_0023_history=5_kernel_sizes=3x5_conv_channels=256x128_fc_dims=256,completed,"{'kernel_sizes': [3, 5], 'conv_channels': [256, 128], 'fc_dims': [256], 'history': 5}",multilayer_cnn_hist_sweep
cnn,0.1675390262603759,0.2406017265234613,0.2408181510336109,512447,512447,40,0.6617790026971444,0.4727570911147162,0.4508658301297286,19,0.3815135061740875,0.2487783282995224,4,trial_0024_history=5_kernel_sizes=5x10_conv_channels=256x128_fc_dims=256,completed,"{'kernel_sizes': [5, 10], 'conv_channels': [256, 128], 'fc_dims': [256], 'history': 5}",multilayer_cnn_hist_sweep
cnn,0.1711284512281418,0.2209390311077625,0.2193088500302905,98303,98303,50,0.6411466895779867,0.4727570911147162,0.4041903971639332,15,0.3815135061740875,0.2254234850406646,1,trial_0025_history=5_kernel_sizes=3x3_conv_channels=128x64_fc_dims=256,completed,"{'kernel_sizes': [3, 3], 'conv_channels': [128, 64], 'fc_dims': [256], 'history': 5}",multilayer_cnn_hist_sweep
cnn,0.1690764553546905,0.2281545125294261,0.2266137193546063,141567,141567,50,0.6417725952169435,0.4727570911147162,0.4254681312394384,16,0.3815135061740875,0.2343911081552505,2,trial_0026_history=5_kernel_sizes=5x5_conv_channels=128x64_fc_dims=256,completed,"{'kernel_sizes': [5, 5], 'conv_channels': [128, 64], 'fc_dims': [256], 'history': 5}",multilayer_cnn_hist_sweep
cnn,0.1680749150514602,0.232858340438974,0.2345731356720897,249727,249727,50,0.6101411053297722,0.4727570911147162,0.4269036964506255,19,0.3815135061740875,0.2417196780443191,3,trial_0027_history=5_kernel_sizes=10x10_conv_channels=128x64_fc_dims=256,completed,"{'kernel_sizes': [10, 10], 'conv_channels': [128, 64], 'fc_dims': [256], 'history': 5}",multilayer_cnn_hist_sweep
cnn,0.1693952065706253,0.22925200733691,0.2267706778484613,114687,114687,50,0.6440652306722494,0.4727570911147162,0.414638439998957,17,0.3815135061740875,0.2348086982965469,2,trial_0028_history=5_kernel_sizes=3x5_conv_channels=128x64_fc_dims=256,completed,"{'kernel_sizes': [3, 5], 'conv_channels': [128, 64], 'fc_dims': [256], 'history': 5}",multilayer_cnn_hist_sweep
cnn,0.166892192363739,0.2380178302247398,0.237116806941658,182527,182527,50,0.6359572723996576,0.4727570911147162,0.4318555957213181,18,0.3815135061740875,0.2459862381219864,4,trial_0029_history=5_kernel_sizes=5x10_conv_channels=128x64_fc_dims=256,completed,"{'kernel_sizes': [5, 10], 'conv_channels': [128, 64], 'fc_dims': [256], 'history': 5}",multilayer_cnn_hist_sweep
cnn,0.1720376766920089,0.2192892690646446,0.2219216502987981,229311,229311,42,0.6414059028627133,0.4727570911147162,0.4105972955869493,14,0.3815135061740875,0.2246176451444625,1,trial_0030_history=10_kernel_sizes=3x3_conv_channels=256x128_fc_dims=256,completed,"{'kernel_sizes': [3, 3], 'conv_channels': [256, 128], 'fc_dims': [256], 'history': 10}",multilayer_cnn_hist_sweep
cnn,0.1703250923156738,0.2267788617780721,0.2296472363487074,348607,348607,34,0.6568089793080671,0.4727570911147162,0.4320455345377957,17,0.3815135061740875,0.2334737926721573,1,trial_0031_history=10_kernel_sizes=5x5_conv_channels=256x128_fc_dims=256,completed,"{'kernel_sizes': [5, 5], 'conv_channels': [256, 128], 'fc_dims': [256], 'history': 10}",multilayer_cnn_hist_sweep
cnn,0.1689915969371795,0.228578419500555,0.2316811374656526,646847,646847,28,0.6316903192613565,0.4727570911147162,0.4447495823814725,17,0.3815135061740875,0.2382202595472335,2,trial_0032_history=10_kernel_sizes=10x10_conv_channels=256x128_fc_dims=256,completed,"{'kernel_sizes': [10, 10], 'conv_channels': [256, 128], 'fc_dims': [256], 'history': 10}",multilayer_cnn_hist_sweep
cnn,0.1717801524400711,0.2276624131212405,0.2290775571935668,294847,294847,36,0.6602280020142625,0.4727570911147162,0.429972268155105,15,0.3815135061740875,0.2338338643312454,1,trial_0033_history=10_kernel_sizes=3x5_conv_channels=256x128_fc_dims=256,completed,"{'kernel_sizes': [3, 5], 'conv_channels': [256, 128], 'fc_dims': [256], 'history': 10}",multilayer_cnn_hist_sweep
cnn,0.1681695494651794,0.2360253313739573,0.2374655884719573,512447,512447,39,0.6559864167565564,0.4727570911147162,0.4461155270921579,18,0.3815135061740875,0.2442889064550399,2,trial_0034_history=10_kernel_sizes=5x10_conv_channels=256x128_fc_dims=256,completed,"{'kernel_sizes': [5, 10], 'conv_channels': [256, 128], 'fc_dims': [256], 'history': 10}",multilayer_cnn_hist_sweep
cnn,0.1709775317907333,0.2213150403786512,0.218135229281537,98303,98303,50,0.6155992090761816,0.4727570911147162,0.3926920497727633,13,0.3815135061740875,0.2262389957904815,1,trial_0035_history=10_kernel_sizes=3x3_conv_channels=128x64_fc_dims=256,completed,"{'kernel_sizes': [3, 3], 'conv_channels': [128, 64], 'fc_dims': [256], 'history': 10}",multilayer_cnn_hist_sweep
cnn,0.1703392909765243,0.2238096405468741,0.2266753287449599,141567,141567,50,0.627780405610044,0.4727570911147162,0.4111423262248189,12,0.3815135061740875,0.2301861643791198,1,trial_0036_history=10_kernel_sizes=5x5_conv_channels=128x64_fc_dims=256,completed,"{'kernel_sizes': [5, 5], 'conv_channels': [128, 64], 'fc_dims': [256], 'history': 10}",multilayer_cnn_hist_sweep
cnn,0.1687490824460983,0.2292644198375943,0.2302629787336776,249727,249727,50,0.6128597747905968,0.4727570911147162,0.4242222345410204,18,0.3815135061740875,0.2381156980991363,2,trial_0037_history=10_kernel_sizes=10x10_conv_channels=128x64_fc_dims=256,completed,"{'kernel_sizes': [10, 10], 'conv_channels': [128, 64], 'fc_dims': [256], 'history': 10}",multilayer_cnn_hist_sweep
cnn,0.1698497369289398,0.2255822889972497,0.2267698763247795,114687,114687,50,0.6433990278052445,0.4727570911147162,0.4151460234458131,13,0.3815135061740875,0.231195792555809,1,trial_0038_history=10_kernel_sizes=3x5_conv_channels=128x64_fc_dims=256,completed,"{'kernel_sizes': [3, 5], 'conv_channels': [128, 64], 'fc_dims': [256], 'history': 10}",multilayer_cnn_hist_sweep
cnn,0.167759021282196,0.2324946754019169,0.2358427181438466,182527,182527,50,0.625859553545519,0.4727570911147162,0.4269260807006314,19,0.3815135061740875,0.2408178299665451,3,trial_0039_history=10_kernel_sizes=5x10_conv_channels=128x64_fc_dims=256,completed,"{'kernel_sizes': [5, 10], 'conv_channels': [128, 64], 'fc_dims': [256], 'history': 10}",multilayer_cnn_hist_sweep
