pattern_name,source_file,source_budget,decomp_method,source_pattern_name,ori_idx,target_orientation_deg,start_timing_index,n_trials,steps_str
509,generated_pattern_registration_10budget_600ms_lda.pkl,10,lda,509,9,202.5,12,1,[0]ch36:dm-1;ch74:dm0;ch77:dm2;ch79:dm0;ch83:dm2;ch84:dm-1;ch91:dm-1 | [1]ch3:dm-1;ch5:dm0;ch9:dm-1;ch25:dm0;ch36:dm0;ch74:dm-1;ch77:dm2;ch79:dm1;ch83:dm2 | [2]ch3:dm-1;ch5:dm0;ch36:dm0;ch74:dm-1;ch77:dm2;ch83:dm2 | [3]ch3:dm-1;ch5:dm0;ch36:dm0;ch77:dm2;ch83:dm2;ch89:dm-1;ch91:dm-1;ch93:dm0 | [4]ch26:dm0;ch91:dm-1;ch93:dm2 | [5]ch11:dm2;ch19:dm-1;ch26:dm2;ch41:dm-1;ch52:dm0;ch54:dm2;ch65:dm0;ch66:dm-1;ch72:dm-1;ch92:dm0 | [6]ch47:dm2 | [7]ch13:dm0;ch47:dm1 | [8]ch13:dm0 | [9]ch13:dm0
5013,generated_pattern_registration_10budget_600ms_lda.pkl,10,lda,5013,13,292.5,13,1,[0]ch36:dm-1;ch74:dm0;ch77:dm2;ch79:dm0;ch83:dm2;ch84:dm-1;ch91:dm-1 | [1]ch36:dm-1;ch74:dm0;ch77:dm2;ch83:dm2;ch84:dm-1 | [2]ch36:dm-1;ch69:dm-1;ch74:dm0;ch77:dm2;ch79:dm0;ch83:dm2;ch84:dm-1 | [3]ch13:dm-1;ch36:dm-1;ch54:dm0;ch57:dm0;ch69:dm-1;ch79:dm0;ch83:dm2;ch87:dm0;ch89:dm-1;ch90:dm-1 | [4]ch5:dm-1;ch20:dm2;ch26:dm1;ch36:dm0;ch47:dm-1;ch52:dm0;ch91:dm0;ch93:dm-1 | [5]ch5:dm-1;ch20:dm2;ch26:dm2;ch36:dm0;ch41:dm-1;ch71:dm2 | [6]ch5:dm-1;ch20:dm2;ch26:dm2;ch36:dm0;ch41:dm-1;ch71:dm2 | [7]ch5:dm-1;ch20:dm2;ch26:dm2;ch36:dm0;ch52:dm-1;ch71:dm2;ch72:dm-1 | [8]ch5:dm-1;ch20:dm2;ch52:dm1 | [9]ch19:dm1;ch20:dm2
508,generated_pattern_registration_10budget_600ms_lda.pkl,10,lda,508,8,180.0,14,1,[0]ch36:dm-1;ch74:dm0;ch77:dm2;ch79:dm0;ch83:dm2;ch84:dm-1;ch91:dm-1 | [1]ch36:dm-1;ch74:dm0;ch77:dm2;ch83:dm2;ch84:dm-1 | [2]ch36:dm-1;ch69:dm-1;ch74:dm0;ch77:dm2;ch79:dm0;ch83:dm2;ch84:dm-1 | [3]ch20:dm-1;ch69:dm1;ch79:dm0;ch83:dm2;ch89:dm-1;ch93:dm0 | [4]ch5:dm-1;ch20:dm2;ch36:dm0 | [5]ch20:dm-1;ch25:dm0;ch36:dm-1 | [6] | [7] | [8] | [9]
501,generated_pattern_registration_10budget_600ms_lda.pkl,10,lda,501,1,22.5,15,1,[0]ch36:dm-1;ch74:dm0;ch77:dm2;ch79:dm0;ch83:dm2;ch84:dm-1;ch91:dm-1 | [1]ch36:dm-1;ch74:dm0;ch77:dm2;ch83:dm2;ch84:dm-1 | [2]ch36:dm-1;ch69:dm-1;ch74:dm0;ch77:dm2;ch79:dm0;ch83:dm2;ch84:dm-1 | [3]ch13:dm-1;ch54:dm0;ch77:dm-1;ch79:dm0;ch83:dm2;ch89:dm-1;ch91:dm-1;ch93:dm0 | [4]ch79:dm0;ch90:dm0;ch93:dm0 | [5]ch20:dm2;ch25:dm1;ch26:dm2;ch41:dm-1;ch71:dm2;ch72:dm-1;ch88:dm0 | [6]ch47:dm0 | [7] | [8] | [9]
5015,generated_pattern_registration_10budget_600ms_lda.pkl,10,lda,5015,15,337.5,16,1,[0]ch36:dm-1;ch74:dm0;ch77:dm2;ch79:dm0;ch83:dm2;ch84:dm-1;ch91:dm-1 | [1]ch36:dm-1;ch74:dm0;ch77:dm2;ch83:dm2;ch84:dm-1 | [2]ch5:dm0;ch36:dm-1;ch57:dm0;ch69:dm-1;ch77:dm2;ch79:dm0;ch83:dm2;ch84:dm-1 | [3]ch3:dm-1;ch5:dm-1;ch20:dm2;ch52:dm0;ch69:dm-1;ch82:dm2;ch91:dm-1 | [4]ch5:dm-1;ch20:dm2 | [5]ch3:dm1;ch20:dm0;ch26:dm2;ch47:dm1;ch52:dm1;ch71:dm0;ch72:dm-1;ch78:dm0 | [6] | [7] | [8] | [9]
501002,generated_pattern_registration_10budget_600ms_pca.pkl,10,pca,502,2,45.0,17,1,[0]ch36:dm-1;ch74:dm0;ch77:dm2;ch79:dm0;ch83:dm2;ch84:dm-1;ch91:dm-1 | [1]ch3:dm-1;ch9:dm-1;ch36:dm0;ch74:dm0;ch77:dm2;ch79:dm0;ch83:dm2;ch89:dm-1 | [2]ch3:dm-1;ch36:dm0;ch77:dm2;ch83:dm2 | [3]ch5:dm0;ch77:dm2;ch83:dm2;ch89:dm-1;ch91:dm-1 | [4]ch52:dm0;ch79:dm-1;ch93:dm2 | [5]ch5:dm0;ch11:dm-1;ch19:dm0;ch25:dm-1;ch41:dm0;ch47:dm2;ch52:dm1;ch82:dm0;ch93:dm-1 | [6]ch9:dm-1;ch13:dm2;ch47:dm2;ch57:dm-1;ch66:dm-1;ch71:dm-1;ch72:dm-1 | [7]ch9:dm-1;ch11:dm-1;ch13:dm2;ch47:dm2;ch52:dm-1;ch57:dm-1;ch66:dm-1;ch71:dm-1;ch88:dm-1;ch92:dm2 | [8]ch11:dm-1;ch13:dm2;ch47:dm2;ch52:dm-1 | [9]ch3:dm1;ch47:dm2
501011,generated_pattern_registration_10budget_600ms_pca.pkl,10,pca,5011,11,247.5,18,1,[0]ch36:dm-1;ch74:dm0;ch77:dm2;ch79:dm0;ch83:dm2;ch84:dm-1;ch91:dm-1 | [1]ch3:dm-1;ch36:dm0;ch57:dm-1;ch65:dm-1;ch74:dm0;ch77:dm2;ch79:dm0;ch83:dm2;ch91:dm-1 | [2]ch3:dm-1;ch25:dm0;ch36:dm0;ch77:dm2;ch79:dm1;ch83:dm2;ch91:dm-1 | [3]ch83:dm2;ch91:dm-1 | [4]ch88:dm0;ch91:dm-1;ch93:dm2 | [5]ch1:dm1;ch93:dm0 | [6]ch47:dm2 | [7]ch47:dm2 | [8]ch47:dm2 | [9]ch47:dm2
501003,generated_pattern_registration_10budget_600ms_pca.pkl,10,pca,503,3,67.5,19,1,[0]ch36:dm-1;ch74:dm0;ch77:dm2;ch79:dm0;ch83:dm2;ch84:dm-1;ch91:dm-1 | [1]ch3:dm-1;ch36:dm0;ch57:dm-1;ch65:dm-1;ch74:dm0;ch77:dm2;ch79:dm0;ch83:dm2;ch91:dm-1 | [2]ch3:dm-1;ch25:dm0;ch36:dm0;ch77:dm2;ch79:dm1;ch83:dm2;ch91:dm-1 | [3]ch3:dm-1;ch5:dm0;ch36:dm0;ch77:dm2;ch83:dm2;ch89:dm-1;ch91:dm-1;ch93:dm0 | [4]ch91:dm-1;ch93:dm2 | [5]ch52:dm1;ch93:dm0 | [6]ch47:dm2;ch52:dm-1;ch93:dm0 | [7]ch47:dm2 | [8]ch13:dm0;ch47:dm1 | [9]ch13:dm0;ch47:dm1
501010,generated_pattern_registration_10budget_600ms_pca.pkl,10,pca,5010,10,225.0,20,1,[0]ch36:dm-1;ch74:dm0;ch77:dm2;ch79:dm0;ch83:dm2;ch84:dm-1;ch91:dm-1 | [1]ch3:dm-1;ch5:dm0;ch9:dm-1;ch20:dm-1;ch36:dm0;ch74:dm0;ch77:dm2;ch79:dm0;ch83:dm2;ch89:dm-1 | [2]ch3:dm-1;ch36:dm0;ch77:dm2;ch83:dm2 | [3]ch13:dm0;ch25:dm2;ch36:dm0;ch57:dm-1;ch65:dm-1;ch77:dm2;ch83:dm2;ch93:dm-1 | [4]ch5:dm0;ch15:dm0;ch25:dm-1;ch71:dm-1;ch79:dm-1;ch93:dm2 | [5]ch13:dm0;ch36:dm-1;ch57:dm-1;ch65:dm-1;ch66:dm-1;ch71:dm2;ch72:dm-1 | [6]ch13:dm1;ch47:dm2;ch57:dm-1;ch66:dm-1;ch71:dm-1 | [7]ch1:dm2;ch3:dm1;ch13:dm2;ch25:dm-1;ch47:dm2;ch52:dm-1;ch71:dm1;ch87:dm0;ch92:dm1;ch93:dm-1 | [8]ch11:dm-1;ch13:dm2;ch47:dm2 | [9]ch11:dm-1;ch13:dm2;ch47:dm2
501000,generated_pattern_registration_10budget_600ms_pca.pkl,10,pca,500,0,0.0,21,1,[0]ch36:dm-1;ch74:dm0;ch77:dm2;ch79:dm0;ch83:dm2;ch84:dm-1;ch91:dm-1 | [1]ch36:dm-1;ch74:dm0;ch77:dm2;ch83:dm2;ch84:dm-1 | [2]ch36:dm-1;ch74:dm0;ch77:dm2;ch83:dm2;ch84:dm-1 | [3]ch9:dm1;ch15:dm-1;ch25:dm0;ch57:dm1;ch85:dm2;ch87:dm-1;ch92:dm2;ch93:dm-1 | [4]ch5:dm-1;ch9:dm-1;ch13:dm2;ch41:dm2;ch57:dm1;ch66:dm-1;ch71:dm-1 | [5]ch11:dm-1;ch13:dm2;ch47:dm2;ch52:dm-1 | [6]ch11:dm-1;ch13:dm2;ch47:dm2 | [7]ch11:dm-1;ch13:dm2;ch47:dm2 | [8]ch11:dm-1;ch13:dm2;ch47:dm2 | [9]ch47:dm2
