pattern_name,source_file,source_budget,source_pattern_name,ori_idx,target_orientation_deg,start_timing_index,n_trials,steps_str
509,generated_pattern_registration_4budget_600ms.pkl,4,509,9,202.5,12,1,[0]ch57:dm2;ch74:dm2;ch88:dm-1;ch113:dm-1 | [1]ch57:dm0;ch74:dm2;ch91:dm-1;ch113:dm-1 | [2]ch57:dm0;ch74:dm2;ch88:dm-1;ch91:dm-1 | [3]ch58:dm-1;ch72:dm0;ch74:dm1;ch92:dm-1 | [4]ch49:dm-1 | [5]ch49:dm-1 | [6]ch49:dm-1 | [7]ch49:dm-1 | [8]ch47:dm0;ch49:dm-1;ch51:dm-1;ch92:dm-1 | [9]ch2:dm-1;ch49:dm-1;ch51:dm-1;ch92:dm-1
5013,generated_pattern_registration_4budget_600ms.pkl,4,5013,13,292.5,13,1,[0]ch57:dm2;ch78:dm0;ch113:dm2;ch127:dm-1 | [1]ch10:dm0;ch57:dm2;ch107:dm-1;ch113:dm2 | [2]ch57:dm2;ch99:dm-1;ch113:dm2;ch127:dm-1 | [3]ch54:dm0;ch88:dm0;ch99:dm-1;ch109:dm-1 | [4]ch2:dm-1 | [5]ch49:dm-1 | [6]ch49:dm-1 | [7]ch49:dm-1 | [8]ch2:dm-1 | [9]ch2:dm-1;ch49:dm-1;ch54:dm0;ch86:dm0
508,generated_pattern_registration_4budget_600ms.pkl,4,508,8,180.0,14,1,[0]ch57:dm2;ch74:dm2;ch88:dm-1;ch113:dm-1 | [1]ch57:dm0;ch74:dm2;ch91:dm-1;ch113:dm-1 | [2]ch40:dm-1;ch57:dm0;ch74:dm2;ch91:dm-1 | [3]ch9:dm-1;ch74:dm0;ch92:dm0;ch127:dm-1 | [4]ch49:dm-1;ch58:dm-1 | [5]ch49:dm-1 | [6]ch49:dm-1 | [7]ch49:dm-1 | [8]ch49:dm-1 | [9]ch9:dm-1;ch49:dm-1;ch92:dm-1;ch127:dm0
501,generated_pattern_registration_4budget_600ms.pkl,4,501,1,22.5,15,1,[0]ch57:dm2;ch74:dm2;ch88:dm-1;ch113:dm-1 | [1]ch57:dm2;ch74:dm2;ch88:dm-1;ch91:dm-1 | [2]ch57:dm0;ch74:dm2;ch88:dm-1;ch91:dm-1 | [3]ch51:dm-1;ch74:dm1;ch92:dm-1;ch127:dm0 | [4]ch51:dm-1;ch92:dm-1 | [5]ch49:dm-1 | [6]ch49:dm-1 | [7]ch49:dm-1 | [8]ch49:dm-1 | [9]ch49:dm-1
5015,generated_pattern_registration_4budget_600ms.pkl,4,5015,15,337.5,16,1,[0]ch57:dm2;ch74:dm2;ch88:dm-1;ch113:dm-1 | [1]ch22:dm-1;ch74:dm2;ch93:dm0;ch113:dm-1 | [2]ch13:dm-1;ch74:dm2;ch90:dm0;ch127:dm-1 | [3]ch40:dm-1;ch49:dm-1;ch92:dm0;ch127:dm-1 | [4]ch49:dm-1;ch92:dm0 | [5]ch49:dm-1 | [6]ch49:dm-1 | [7]ch49:dm-1 | [8]ch49:dm-1 | [9]ch9:dm-1;ch49:dm-1;ch82:dm0;ch127:dm0
501002,generated_pattern_registration_8budget_600ms.pkl,8,502,2,45.0,17,1,[0]ch53:dm0;ch74:dm2;ch88:dm-1;ch92:dm-1 | [1]ch53:dm0;ch74:dm2;ch88:dm-1;ch92:dm-1 | [2]ch10:dm2;ch49:dm0;ch57:dm-1;ch58:dm0;ch74:dm-1;ch78:dm0;ch88:dm-1;ch92:dm-1 | [3]ch10:dm2;ch58:dm0;ch74:dm-1;ch78:dm0;ch88:dm-1;ch92:dm-1 | [4]ch10:dm2;ch51:dm0;ch57:dm-1;ch58:dm0;ch74:dm-1;ch88:dm-1;ch92:dm-1;ch113:dm0 | [5]ch14:dm-1;ch54:dm2;ch113:dm-1 | [6] | [7]ch13:dm-1 | [8] | [9]
501011,generated_pattern_registration_8budget_600ms.pkl,8,5011,11,247.5,18,1,[0]ch10:dm2;ch51:dm0;ch57:dm-1;ch74:dm-1;ch78:dm0;ch88:dm-1;ch92:dm-1;ch113:dm0 | [1]ch10:dm-1;ch22:dm0;ch40:dm1;ch54:dm0;ch57:dm2;ch88:dm-1;ch98:dm0;ch113:dm-1 | [2]ch7:dm-1;ch51:dm0;ch54:dm2;ch57:dm-1;ch98:dm0;ch113:dm-1 | [3]ch2:dm-1 | [4] | [5] | [6] | [7] | [8] | [9]
501003,generated_pattern_registration_8budget_600ms.pkl,8,503,3,67.5,19,1,[0]ch10:dm2;ch51:dm0;ch57:dm-1;ch74:dm-1;ch78:dm0;ch88:dm-1;ch92:dm-1;ch113:dm0 | [1]ch22:dm-1;ch30:dm0;ch57:dm2;ch86:dm0;ch90:dm-1;ch113:dm-1 | [2]ch2:dm-1;ch7:dm-1;ch22:dm0;ch54:dm2;ch91:dm-1;ch98:dm0;ch113:dm-1 | [3]ch2:dm-1 | [4]ch2:dm-1;ch49:dm-1;ch86:dm0 | [5] | [6] | [7] | [8] | [9]
501010,generated_pattern_registration_8budget_600ms.pkl,8,5010,10,225.0,20,1,[0]ch10:dm0;ch57:dm0;ch74:dm2;ch88:dm-1;ch92:dm-1 | [1]ch53:dm0;ch74:dm2;ch88:dm-1;ch92:dm-1 | [2]ch10:dm2;ch49:dm0;ch57:dm-1;ch58:dm0;ch74:dm-1;ch78:dm0;ch88:dm-1;ch92:dm-1 | [3]ch10:dm2;ch30:dm0;ch57:dm-1;ch58:dm0;ch74:dm-1;ch78:dm0;ch88:dm-1;ch92:dm-1 | [4]ch10:dm2;ch58:dm0;ch74:dm-1;ch78:dm0;ch88:dm-1;ch92:dm-1 | [5]ch7:dm0;ch57:dm2;ch105:dm-1 | [6] | [7] | [8] | [9]
501000,generated_pattern_registration_8budget_600ms.pkl,8,500,0,0.0,21,1,[0]ch13:dm-1;ch74:dm2;ch88:dm-1;ch92:dm0 | [1]ch13:dm-1;ch74:dm2;ch88:dm-1;ch92:dm0 | [2]ch13:dm-1;ch74:dm2;ch88:dm-1;ch92:dm0 | [3]ch2:dm0;ch17:dm-1;ch53:dm-1;ch74:dm2;ch82:dm-1;ch90:dm0;ch92:dm-1;ch98:dm0 | [4]ch2:dm1;ch9:dm-1;ch17:dm-1;ch92:dm2 | [5] | [6]ch2:dm-1;ch22:dm0;ch49:dm-1 | [7] | [8] | [9]
501004,generated_pattern_registration_8budget_600ms.pkl,8,504,4,90.0,22,1,[0]ch14:dm-1;ch54:dm2;ch89:dm0;ch113:dm-1 | [1]ch7:dm-1;ch10:dm-1;ch40:dm0;ch54:dm2;ch89:dm0;ch91:dm-1;ch98:dm0;ch113:dm-1 | [2]ch7:dm-1;ch30:dm-1;ch54:dm2;ch113:dm-1;ch115:dm0 | [3] | [4]ch51:dm-1 | [5] | [6] | [7] | [8] | [9]
501007,generated_pattern_registration_8budget_600ms.pkl,8,507,7,157.5,23,1,[0]ch13:dm-1;ch74:dm2;ch90:dm0;ch92:dm0;ch127:dm-1 | [1]ch13:dm-1;ch74:dm2;ch90:dm0;ch92:dm0;ch127:dm-1 | [2]ch13:dm-1;ch74:dm2;ch90:dm0;ch92:dm0;ch127:dm-1 | [3]ch2:dm0;ch51:dm-1;ch74:dm0;ch90:dm0;ch107:dm-1;ch127:dm-1 | [4]ch78:dm0;ch86:dm2;ch93:dm1;ch99:dm1;ch107:dm2 | [5] | [6] | [7] | [8] | [9]ch51:dm-1
501005,generated_pattern_registration_8budget_600ms.pkl,8,505,5,112.5,24,1,[0]ch99:dm-1 | [1]ch13:dm-1;ch46:dm0;ch54:dm2;ch115:dm-1 | [2]ch40:dm0;ch51:dm-1 | [3]ch51:dm-1 | [4] | [5] | [6] | [7] | [8] | [9]
501014,generated_pattern_registration_8budget_600ms.pkl,8,5014,14,315.0,25,1,[0]ch9:dm-1;ch13:dm-1;ch74:dm2;ch89:dm0;ch93:dm0;ch99:dm-1;ch107:dm-1;ch127:dm-1 | [1]ch2:dm0;ch51:dm-1;ch53:dm-1;ch57:dm0;ch74:dm0;ch90:dm0;ch99:dm-1;ch127:dm-1 | [2]ch93:dm2;ch127:dm-1 | [3] | [4]ch2:dm-1 | [5] | [6] | [7] | [8] | [9]ch2:dm-1;ch13:dm0;ch49:dm-1;ch61:dm0
501012,generated_pattern_registration_8budget_600ms.pkl,8,5012,12,270.0,26,1,[0]ch14:dm-1;ch54:dm2;ch57:dm0;ch105:dm0;ch109:dm-1;ch113:dm-1 | [1]ch7:dm0;ch30:dm-1;ch54:dm2;ch57:dm0;ch86:dm0;ch109:dm-1;ch113:dm-1 | [2]ch2:dm-1 | [3] | [4] | [5] | [6] | [7] | [8] | [9]
501006,generated_pattern_registration_8budget_600ms.pkl,8,506,6,135.0,27,1,[0]ch49:dm-1;ch74:dm2;ch82:dm0;ch90:dm0;ch92:dm-1;ch99:dm-1;ch107:dm-1;ch127:dm2 | [1]ch13:dm-1;ch49:dm-1;ch72:dm0;ch74:dm2;ch90:dm0;ch99:dm-1;ch107:dm-1;ch127:dm2 | [2]ch53:dm-1;ch93:dm0;ch127:dm-1 | [3]ch13:dm-1 | [4] | [5] | [6] | [7] | [8] | [9]
501009,generated_pattern_registration_8budget_600ms.pkl,8,509,9,202.5,28,1,[0]ch74:dm2;ch88:dm-1;ch91:dm-1;ch92:dm0 | [1]ch13:dm-1;ch74:dm2;ch88:dm-1;ch92:dm0 | [2]ch74:dm2;ch88:dm-1 | [3]ch74:dm2;ch88:dm-1 | [4]ch10:dm0;ch57:dm1;ch74:dm1;ch88:dm-1 | [5]ch22:dm1;ch47:dm0;ch88:dm-1 | [6] | [7] | [8] | [9]
501013,generated_pattern_registration_8budget_600ms.pkl,8,5013,13,292.5,29,1,[0]ch89:dm0;ch90:dm-1;ch99:dm-1 | [1]ch2:dm-1;ch54:dm2;ch57:dm0;ch109:dm-1;ch113:dm-1;ch115:dm0 | [2]ch113:dm-1 | [3]ch40:dm0;ch47:dm-1;ch51:dm-1;ch54:dm1 | [4] | [5]ch49:dm-1 | [6]ch49:dm-1 | [7]ch2:dm-1 | [8]ch49:dm-1 | [9]ch2:dm-1;ch13:dm0;ch49:dm-1;ch61:dm0
501008,generated_pattern_registration_8budget_600ms.pkl,8,508,8,180.0,30,1,[0]ch13:dm-1;ch74:dm2;ch88:dm-1;ch92:dm0 | [1]ch13:dm-1;ch74:dm2;ch88:dm-1;ch92:dm0 | [2]ch13:dm-1;ch74:dm2;ch88:dm-1;ch92:dm0 | [3]ch74:dm2;ch82:dm-1 | [4]ch51:dm-1;ch53:dm-1;ch58:dm-1;ch107:dm0 | [5] | [6] | [7] | [8] | [9]
501001,generated_pattern_registration_8budget_600ms.pkl,8,501,1,22.5,31,1,[0]ch74:dm2;ch88:dm-1;ch91:dm-1;ch92:dm0 | [1]ch74:dm2;ch88:dm-1 | [2]ch74:dm2;ch88:dm-1 | [3]ch74:dm2;ch88:dm-1 | [4]ch10:dm0;ch57:dm1;ch74:dm1;ch88:dm-1 | [5]ch10:dm2;ch51:dm0;ch57:dm-1;ch58:dm0;ch74:dm-1;ch78:dm0;ch88:dm-1;ch92:dm-1 | [6]ch89:dm1 | [7]ch51:dm-1 | [8] | [9]
501015,generated_pattern_registration_8budget_600ms.pkl,8,5015,15,337.5,32,1,[0]ch2:dm0;ch13:dm-1;ch53:dm-1;ch74:dm2;ch90:dm0;ch92:dm0;ch107:dm-1;ch127:dm-1 | [1]ch13:dm-1;ch74:dm2;ch90:dm0;ch92:dm0;ch127:dm-1 | [2]ch13:dm-1;ch53:dm-1;ch74:dm2;ch89:dm0;ch90:dm0;ch92:dm0;ch107:dm-1;ch127:dm-1 | [3]ch53:dm-1;ch99:dm2;ch105:dm1;ch127:dm-1 | [4]ch17:dm1;ch86:dm1 | [5] | [6] | [7] | [8] | [9]
