best_val_loss,best_val_corr,best_epoch,test_loss,test_corr,n_params,n_train,n_val,n_test,n_epochs_run,train_seconds,device,seed,wall_time_s,gpu_id,hostname,run_id,status,config_id,experiment
0.22576481819152833,0.1933872088522521,49,0.23782788228988647,0.13696848234224068,646984,2400,600,1000,50,6.3,cuda,1,7.2,1,user-Puget-Workstation-Threadripper-PRO-WRX90-T140-XL,trial_0001_lr=3.0e-04_weight_decay=1.0e-05_kernel_sizes=10x7_conv_channels=256x256_fc_dims=256_seed1,completed,a39466c489,trial_0001_lr=3.0e-04_weight_decay=1.0e-05_kernel_sizes=10x7_conv_channels=256x256_fc_dims=256_seed1
0.22563164154688517,0.19512572013423085,50,0.2379425493478775,0.1396201192121581,646984,2400,600,1000,50,6.4,cuda,2,7.3,0,user-Puget-Workstation-Threadripper-PRO-WRX90-T140-XL,trial_0001_lr=3.0e-04_weight_decay=1.0e-05_kernel_sizes=10x7_conv_channels=256x256_fc_dims=256_seed2,completed,a39466c489,trial_0001_lr=3.0e-04_weight_decay=1.0e-05_kernel_sizes=10x7_conv_channels=256x256_fc_dims=256_seed2
0.22666288495063783,0.1989511668223558,50,0.23746516358852388,0.14161200009117803,646984,2400,600,1000,50,6.5,cuda,3,7.4,1,user-Puget-Workstation-Threadripper-PRO-WRX90-T140-XL,trial_0001_lr=3.0e-04_weight_decay=1.0e-05_kernel_sizes=10x7_conv_channels=256x256_fc_dims=256_seed3,completed,a39466c489,trial_0001_lr=3.0e-04_weight_decay=1.0e-05_kernel_sizes=10x7_conv_channels=256x256_fc_dims=256_seed3
0.22643461922804514,0.19442859547323427,50,0.23769104540348052,0.1383396233900899,646984,2400,600,1000,50,6.5,cuda,4,7.5,0,user-Puget-Workstation-Threadripper-PRO-WRX90-T140-XL,trial_0001_lr=3.0e-04_weight_decay=1.0e-05_kernel_sizes=10x7_conv_channels=256x256_fc_dims=256_seed4,completed,a39466c489,trial_0001_lr=3.0e-04_weight_decay=1.0e-05_kernel_sizes=10x7_conv_channels=256x256_fc_dims=256_seed4
0.2283136546611786,0.1916572335997166,49,0.2379622792005539,0.1370319331608579,646984,2400,600,1000,50,6.3,cuda,5,7.2,1,user-Puget-Workstation-Threadripper-PRO-WRX90-T140-XL,trial_0001_lr=3.0e-04_weight_decay=1.0e-05_kernel_sizes=10x7_conv_channels=256x256_fc_dims=256_seed5,completed,a39466c489,trial_0001_lr=3.0e-04_weight_decay=1.0e-05_kernel_sizes=10x7_conv_channels=256x256_fc_dims=256_seed5
0.22774571299552918,0.19492889190391863,49,0.23776509189605713,0.1397106220928477,646984,2400,600,1000,50,6.5,cuda,6,7.4,0,user-Puget-Workstation-Threadripper-PRO-WRX90-T140-XL,trial_0001_lr=3.0e-04_weight_decay=1.0e-05_kernel_sizes=10x7_conv_channels=256x256_fc_dims=256_seed6,completed,a39466c489,trial_0001_lr=3.0e-04_weight_decay=1.0e-05_kernel_sizes=10x7_conv_channels=256x256_fc_dims=256_seed6
0.22656975130240123,0.20234960169695293,50,0.2373092919588089,0.14271076630302384,646984,2400,600,1000,50,6.4,cuda,7,7.3,1,user-Puget-Workstation-Threadripper-PRO-WRX90-T140-XL,trial_0001_lr=3.0e-04_weight_decay=1.0e-05_kernel_sizes=10x7_conv_channels=256x256_fc_dims=256_seed7,completed,a39466c489,trial_0001_lr=3.0e-04_weight_decay=1.0e-05_kernel_sizes=10x7_conv_channels=256x256_fc_dims=256_seed7
0.22747090220451355,0.19781502824808309,50,0.23747999238967896,0.14330891241207386,646984,2400,600,1000,50,6.5,cuda,8,7.4,0,user-Puget-Workstation-Threadripper-PRO-WRX90-T140-XL,trial_0001_lr=3.0e-04_weight_decay=1.0e-05_kernel_sizes=10x7_conv_channels=256x256_fc_dims=256_seed8,completed,a39466c489,trial_0001_lr=3.0e-04_weight_decay=1.0e-05_kernel_sizes=10x7_conv_channels=256x256_fc_dims=256_seed8
0.2256933613618215,0.19432275402629537,50,0.2376367794275284,0.14081657405104278,646984,2400,600,1000,50,6.5,cuda,9,7.4,1,user-Puget-Workstation-Threadripper-PRO-WRX90-T140-XL,trial_0001_lr=3.0e-04_weight_decay=1.0e-05_kernel_sizes=10x7_conv_channels=256x256_fc_dims=256_seed9,completed,a39466c489,trial_0001_lr=3.0e-04_weight_decay=1.0e-05_kernel_sizes=10x7_conv_channels=256x256_fc_dims=256_seed9
0.22209613223870595,0.20643902483358545,50,0.23619864404201507,0.1488065504113237,646984,2400,600,1000,50,6.5,cuda,0,7.5,0,user-Puget-Workstation-Threadripper-PRO-WRX90-T140-XL,trial_0002_lr=3.0e-04_weight_decay=1.0e-04_kernel_sizes=10x7_conv_channels=256x256_fc_dims=256_seed0,completed,09a1b42eb3,trial_0002_lr=3.0e-04_weight_decay=1.0e-04_kernel_sizes=10x7_conv_channels=256x256_fc_dims=256_seed0
