run_dir,model_type,test_loss,test_corr,best_val_corr,total_params,trainable_params,epochs_trained,mean_pattern_corr,loo_avg_mean_corr,model_avg_mean_corr,neurons_model_beats_loo_avg,loo_temporal_mean_corr,model_temporal_mean_corr,neurons_model_beats_loo_temporal,experiment,status,kernel_sizes,weight_decay,conv_channels
results/base_cnn_sweep3_2026-02-20_11-17-00/trial_0000,cnn,0.2027004005908966,0.00013813547234315675,0.00706055631378187,54975,54975,27,0.09224961280510569,0.47275709111471625,0.06820432696987869,0,0.3815135061740875,0.04647823050618172,0,trial_0000,completed,[1],0.0,[128]
results/base_cnn_sweep3_2026-02-20_11-17-00/trial_0001,cnn,0.20336466908454895,0.0009434328815341148,0.006759610956710113,93503,93503,26,0.011563859352239409,0.47275709111471625,-0.002525217002175737,0,0.3815135061740875,0.013096833601593971,0,trial_0001,completed,[1],0.0,[256]
results/base_cnn_sweep3_2026-02-20_11-17-00/trial_0002,cnn,0.2027072184085846,-0.0004111189015650617,0.006161488356995539,54975,54975,27,0.06495042873306438,0.47275709111471625,0.056521072782984245,0,0.3815135061740875,0.03641405329108238,0,trial_0002,completed,[1],0.0001,[128]
results/base_cnn_sweep3_2026-02-20_11-17-00/trial_0003,cnn,0.20314955449104308,0.0008073963670622539,0.008086316152834153,93503,93503,28,0.06580831727044383,0.47275709111471625,0.058529785366842974,0,0.3815135061740875,0.045776572078466415,0,trial_0003,completed,[1],0.0001,[256]
results/base_cnn_sweep3_2026-02-20_11-17-00/trial_0004,cnn,0.17454688119888306,0.20346398508385757,0.19902504980103597,65727,65727,50,0.601472920006464,0.47275709111471625,0.3501615062532831,2,0.3815135061740875,0.2049972414970398,0,trial_0004,completed,[3],0.0,[128]
results/base_cnn_sweep3_2026-02-20_11-17-00/trial_0005,cnn,0.1744397268295288,0.20373146684655868,0.2002275922898596,115007,115007,45,0.6125080033405228,0.47275709111471625,0.3571322544467786,2,0.3815135061740875,0.20539888739585876,0,trial_0005,completed,[3],0.0,[256]
results/base_cnn_sweep3_2026-02-20_11-17-00/trial_0006,cnn,0.17455353844165802,0.20382444065049315,0.1984343756063549,65727,65727,50,0.600495065045256,0.47275709111471625,0.34978710111185124,2,0.3815135061740875,0.20541392266750336,0,trial_0006,completed,[3],0.0001,[128]
results/base_cnn_sweep3_2026-02-20_11-17-00/trial_0007,cnn,0.17439922845363617,0.20435591216229043,0.20124633572743555,115007,115007,38,0.6168528475257432,0.47275709111471625,0.35894768781028347,2,0.3815135061740875,0.20605523884296417,0,trial_0007,completed,[3],0.0001,[256]
results/base_cnn_sweep3_2026-02-20_11-17-00/trial_0008,cnn,0.1736314377784729,0.20568501867284902,0.20104573702282066,71103,71103,50,0.597475237932649,0.47275709111471625,0.3475448886106435,2,0.3815135061740875,0.20732271671295166,0,trial_0008,completed,[4],0.0,[128]
results/base_cnn_sweep3_2026-02-20_11-17-00/trial_0009,cnn,0.17347988379001616,0.20938705965458865,0.20313410859398776,125759,125759,45,0.6103816944423931,0.47275709111471625,0.3559018346683595,2,0.3815135061740875,0.21089625358581543,0,trial_0009,completed,[4],0.0,[256]
results/base_cnn_sweep3_2026-02-20_11-17-00/trial_0010,cnn,0.1735218812227249,0.20724682306167064,0.20114011150073835,71103,71103,49,0.6079821362711298,0.47275709111471625,0.35249917967314764,2,0.3815135061740875,0.2090998739004135,0,trial_0010,completed,[4],0.0001,[128]
results/base_cnn_sweep3_2026-02-20_11-17-00/trial_0011,cnn,0.17364762318134308,0.2084164275827894,0.20422565824513123,125759,125759,44,0.6137957062477011,0.47275709111471625,0.35736276336850065,2,0.3815135061740875,0.20993919670581818,0,trial_0011,completed,[4],0.0001,[256]
results/base_cnn_sweep3_2026-02-20_11-17-00/trial_0012,cnn,0.17379438149929047,0.20846602870497669,0.20147599286427134,76479,76479,50,0.6121195980597617,0.47275709111471625,0.3540305326206205,2,0.3815135061740875,0.21014465391635895,0,trial_0012,completed,[5],0.0,[128]
results/base_cnn_sweep3_2026-02-20_11-17-00/trial_0013,cnn,0.17361545717716217,0.20748962113003383,0.20338414894240045,136511,136511,41,0.6191803535842044,0.47275709111471625,0.35932416794431365,2,0.3815135061740875,0.20919497311115265,0,trial_0013,completed,[5],0.0,[256]
results/base_cnn_sweep3_2026-02-20_11-17-00/trial_0014,cnn,0.1739523501396179,0.20507045414576378,0.20253678447806353,76479,76479,50,0.607062099787727,0.47275709111471625,0.3514165873860827,2,0.3815135061740875,0.20664797723293304,0,trial_0014,completed,[5],0.0001,[128]
results/base_cnn_sweep3_2026-02-20_11-17-00/trial_0015,cnn,0.17366505348682404,0.20749221460123818,0.20364006456644054,136511,136511,44,0.6221462381944595,0.47275709111471625,0.36019080302094975,2,0.3815135061740875,0.20904237031936646,0,trial_0015,completed,[5],0.0001,[256]
results/base_cnn_sweep3_2026-02-20_11-17-00/trial_0016,cnn,0.1734167023897171,0.2047386749828933,0.20266552031321794,103359,103359,50,0.6266910949778085,0.47275709111471625,0.35745222591049153,4,0.3815135061740875,0.20620593428611755,0,trial_0016,completed,[10],0.0,[128]
results/base_cnn_sweep3_2026-02-20_11-17-00/trial_0017,cnn,0.17270183670520783,0.20839582248700325,0.20341061241479103,190271,190271,40,0.6267528331075057,0.47275709111471625,0.3594965599565045,4,0.3815135061740875,0.20974785089492798,0,trial_0017,completed,[10],0.0,[256]
results/base_cnn_sweep3_2026-02-20_11-17-00/trial_0018,cnn,0.17315699458122252,0.20566319675610514,0.20199336349352184,103359,103359,50,0.6271626388946767,0.47275709111471625,0.35804467405123386,4,0.3815135061740875,0.206759512424469,0,trial_0018,completed,[10],0.0001,[128]
results/base_cnn_sweep3_2026-02-20_11-17-00/trial_0019,cnn,0.17216353571414947,0.21188363490429138,0.20439721363725294,190271,190271,40,0.6420418386030329,0.47275709111471625,0.3667024823559672,3,0.3815135061740875,0.2131531983613968,0,trial_0019,completed,[10],0.0001,[256]
results/base_cnn_sweep3_2026-02-20_11-17-00/trial_0020,cnn,0.17295387876033783,0.2097647672088767,0.20738853614507466,157119,157119,50,0.6134176084089116,0.47275709111471625,0.3477295627313098,5,0.3815135061740875,0.2111498862504959,0,trial_0020,completed,[20],0.0,[128]
results/base_cnn_sweep3_2026-02-20_11-17-00/trial_0021,cnn,0.17262802243232728,0.21276935397708416,0.2113997978828148,297791,297791,43,0.6179908551969087,0.47275709111471625,0.351820038360098,3,0.3815135061740875,0.21413961052894592,0,trial_0021,completed,[20],0.0,[256]
results/base_cnn_sweep3_2026-02-20_11-17-00/trial_0022,cnn,0.1728780061006546,0.20786162680375034,0.2072776836136975,157119,157119,50,0.6064012098694928,0.47275709111471625,0.34257196505216503,5,0.3815135061740875,0.2091377079486847,0,trial_0022,completed,[20],0.0001,[128]
results/base_cnn_sweep3_2026-02-20_11-17-00/trial_0023,cnn,0.17267597234249116,0.2114360123559607,0.21050663733579186,297791,297791,47,0.6185667052544406,0.47275709111471625,0.3515237701608366,4,0.3815135061740875,0.21238696575164795,0,trial_0023,completed,[20],0.0001,[256]
results/base_cnn_sweep3_2026-02-20_11-17-00/trial_0024,cnn,0.17488846361637114,0.20650811970071853,0.20415266171098928,372159,372159,42,0.48174235575637653,0.47275709111471625,0.27568913023147873,2,0.3815135061740875,0.20771902799606323,0,trial_0024,completed,[60],0.0,[128]
results/base_cnn_sweep3_2026-02-20_11-17-00/trial_0025,cnn,0.17367873680591583,0.21835993817243585,0.2077073840005821,727871,727871,31,0.49958318319429906,0.47275709111471625,0.2884883123640823,2,0.3815135061740875,0.22012700140476227,0,trial_0025,completed,[60],0.0,[256]
