run_dir,model_type,test_loss,test_corr,best_val_corr,total_params,trainable_params,epochs_trained,mean_pattern_corr,loo_mean_corr,model_sample_mean_corr,neurons_model_beats_loo,experiment,status,kernel_sizes
results/cnn_kernel_sweep_2026-02-13_13-16-51/trial_0000,cnn,0.17848078691959382,0.2615087102112804,0.256806011144526,63039,63039,50,0.6563524714818425,0.47275709111471625,0.46365657086488926,25,trial_0000,completed,[1]
results/cnn_kernel_sweep_2026-02-13_13-16-51/trial_0001,cnn,0.16176842284202575,0.3603171369491587,0.3658509365261619,89919,89919,50,0.7413440944088439,0.47275709111471625,0.5930622577301374,51,trial_0001,completed,[3]
results/cnn_kernel_sweep_2026-02-13_13-16-51/trial_0002,cnn,0.16183289802074433,0.35751462441326093,0.3636885176703544,116799,116799,50,0.7408871183548439,0.47275709111471625,0.6051788623194175,51,trial_0002,completed,[5]
results/cnn_kernel_sweep_2026-02-13_13-16-51/trial_0003,cnn,0.1613639931678772,0.3579517159269057,0.36555874130790755,183999,183999,50,0.7278335016315544,0.47275709111471625,0.5954134477537594,51,trial_0003,completed,[10]
results/cnn_kernel_sweep_2026-02-13_13-16-51/trial_0004,cnn,0.16331542730331422,0.34647907424492247,0.35244594752919217,318399,318399,35,0.6854871051074006,0.47275709111471625,0.5736813424982484,44,trial_0004,completed,[20]
results/cnn_kernel_sweep_2026-02-13_13-16-51/trial_0005,cnn,0.16554441833496095,0.33251172895047154,0.3385185982036414,452799,452799,31,0.654151780291284,0.47275709111471625,0.5586133564273125,43,trial_0005,completed,[30]
results/cnn_kernel_sweep_2026-02-13_13-16-51/trial_0006,cnn,0.16798182809352874,0.3231404994075521,0.325910626561125,855999,855999,26,0.6101206705852891,0.47275709111471625,0.536858912915842,40,trial_0006,completed,[60]
