run_dir,model_type,test_loss,test_corr,best_val_corr,total_params,trainable_params,epochs_trained,mean_pattern_corr,loo_mean_corr,model_sample_mean_corr,neurons_model_beats_loo,experiment,status,kernel_sizes,learning_rate,weight_decay,conv_channels
results/base_cnn_kernel_sweep_2026-02-15_19-39-07/trial_0020_learning_rate=1.0e-03,cnn,0.17836094129085542,0.2637473357094519,0.2587805647750087,109631,109631,50,0.6720614563475777,0.47275709111471625,0.46846908941798854,25,trial_0020_learning_rate=1.0e-03,completed,[1],0.001,0.0001,[256]
results/base_cnn_kernel_sweep_2026-02-15_19-39-07/trial_0021_learning_rate=1.0e-03,cnn,0.1789434700012207,0.25552217225280155,0.2510597033012117,39743,39743,50,0.6534201386154814,0.47275709111471625,0.45020617743007113,24,trial_0021_learning_rate=1.0e-03,completed,[1],0.001,0.001,[64]
results/base_cnn_kernel_sweep_2026-02-15_19-39-07/trial_0022_learning_rate=1.0e-03,cnn,0.17861350882053376,0.2614649602048728,0.2560643756666148,63039,63039,50,0.6630100260802665,0.47275709111471625,0.4638218311586512,28,trial_0022_learning_rate=1.0e-03,completed,[1],0.001,0.001,[128]
results/base_cnn_kernel_sweep_2026-02-15_19-39-07/trial_0023_learning_rate=1.0e-03,cnn,0.17852817225456238,0.2596272828977134,0.25582632151329254,109631,109631,38,0.6763868276219704,0.47275709111471625,0.4722674858490961,27,trial_0023_learning_rate=1.0e-03,completed,[1],0.001,0.001,[256]
results/base_cnn_kernel_sweep_2026-02-15_19-39-07/trial_0024_learning_rate=0.01,cnn,0.17862763106822968,0.25827746382310496,0.2551304697743761,39743,39743,50,0.6557547552342656,0.47275709111471625,0.4454544767325105,25,trial_0024_learning_rate=0.01,completed,[1],0.01,0.0,[64]
results/base_cnn_kernel_sweep_2026-02-15_19-39-07/trial_0025_learning_rate=0.01,cnn,0.1785615758895874,0.2595245871219034,0.2553213328449399,63039,63039,50,0.6518293439751753,0.47275709111471625,0.45125097212771387,26,trial_0025_learning_rate=0.01,completed,[1],0.01,0.0,[128]
results/base_cnn_kernel_sweep_2026-02-15_19-39-07/trial_0026_learning_rate=0.01,cnn,0.17881161415576935,0.2587591994135231,0.25380681681464484,109631,109631,50,0.6500994208629669,0.47275709111471625,0.44783763736879245,25,trial_0026_learning_rate=0.01,completed,[1],0.01,0.0,[256]
results/base_cnn_kernel_sweep_2026-02-15_19-39-07/trial_0027_learning_rate=0.01,cnn,0.178428067445755,0.25917591643502425,0.2552057935391893,39743,39743,50,0.6532126630260652,0.47275709111471625,0.4475928665852437,23,trial_0027_learning_rate=0.01,completed,[1],0.01,1e-05,[64]
results/base_cnn_kernel_sweep_2026-02-15_19-39-07/trial_0028_learning_rate=0.01,cnn,0.17841433215141297,0.26182140283367455,0.25750112925659685,63039,63039,50,0.6523113396373208,0.47275709111471625,0.45153499063471814,26,trial_0028_learning_rate=0.01,completed,[1],0.01,1e-05,[128]
results/base_cnn_kernel_sweep_2026-02-15_19-39-07/trial_0029_learning_rate=0.01,cnn,0.17900346612930298,0.2556101747867173,0.25428117867528277,109631,109631,50,0.6480639596071149,0.47275709111471625,0.4480122123999473,24,trial_0029_learning_rate=0.01,completed,[1],0.01,1e-05,[256]
results/base_cnn_kernel_sweep_2026-02-15_19-39-07/trial_0030_learning_rate=0.01,cnn,0.1787934708595276,0.2550690750130249,0.2536432469016314,39743,39743,50,0.6471473313560288,0.47275709111471625,0.44351856395531475,24,trial_0030_learning_rate=0.01,completed,[1],0.01,0.0001,[64]
results/base_cnn_kernel_sweep_2026-02-15_19-39-07/trial_0031_learning_rate=0.01,cnn,0.1783921855688095,0.2591097719270629,0.25566481863299545,63039,63039,50,0.6424409754368751,0.47275709111471625,0.4480734784707763,24,trial_0031_learning_rate=0.01,completed,[1],0.01,0.0001,[128]
results/base_cnn_kernel_sweep_2026-02-15_19-39-07/trial_0032_learning_rate=0.01,cnn,0.17897455835342407,0.25599093798552525,0.25564817691803704,109631,109631,45,0.6446881442114242,0.47275709111471625,0.44869296502022576,25,trial_0032_learning_rate=0.01,completed,[1],0.01,0.0001,[256]
