N,n_used,protocol,seed,eval_nll,eval_corr
500,500,frozen_backbone,0,0.23547398257255553,0.18720782060133556
500,500,frozen_backbone,1,0.233920273065567,0.20178889819546714
500,500,full_finetune,0,0.2425965371131897,0.21164942426961067
500,500,full_finetune,1,0.24441217923164368,0.2112234225967069
500,500,from_scratch,0,0.24279238319396973,0.21461920759150596
500,500,from_scratch,1,0.24280084705352784,0.21711277289645325
1000,1000,frozen_backbone,0,0.23378153610229493,0.1995737256711746
1000,1000,frozen_backbone,1,0.2315940088033676,0.2171115594956991
1000,1000,full_finetune,0,0.2341952712535858,0.24245592709621627
1000,1000,full_finetune,1,0.23333117127418518,0.24117787484766592
1000,1000,from_scratch,0,0.23482849431037903,0.2403276897928739
1000,1000,from_scratch,1,0.23360107684135437,0.2411082463488572
2000,2000,frozen_backbone,0,0.23331401920318603,0.2028046568418427
2000,2000,frozen_backbone,1,0.23187811863422395,0.20511091604599496
2000,2000,full_finetune,0,0.22878150713443757,0.2573293454351734
2000,2000,full_finetune,1,0.2275622580051422,0.25750433282027246
2000,2000,from_scratch,0,0.22784650492668151,0.2572406749448279
2000,2000,from_scratch,1,0.22827602970600128,0.2565653039210125
3000,3000,frozen_backbone,0,0.23229623341560363,0.21434385341365927
3000,3000,frozen_backbone,1,0.23328740048408508,0.20346631323718495
3000,3000,full_finetune,0,0.22618272948265075,0.2621925101791622
3000,3000,full_finetune,1,0.22777538216114043,0.2608026845425251
3000,3000,from_scratch,0,0.2270794447660446,0.259760869433237
3000,3000,from_scratch,1,0.2263173518180847,0.2613104138364385
