run_dir,model_type,test_loss,test_corr,best_val_corr,total_params,trainable_params,epochs_trained,mean_pattern_corr,loo_mean_corr,model_sample_mean_corr,neurons_model_beats_loo,experiment,status,history
results/cnn_history_sweep_2026-02-13_12-47-14/trial_0000_history=1,cnn,0.1681069940328598,0.320679673705266,0.3251422034503794,855999,855999,24,0.593596399737202,0.47275709111471625,0.5264193401287941,36,trial_0000_history=1,completed,1
results/cnn_history_sweep_2026-02-13_12-47-14/trial_0001_history=2,cnn,0.16911144304275513,0.31923688160527497,0.3229835029251138,855999,855999,25,0.5893046183891497,0.47275709111471625,0.5179440258224958,33,trial_0001_history=2,completed,2
results/cnn_history_sweep_2026-02-13_12-47-14/trial_0002_history=3,cnn,0.17577487325668334,0.2679449893968263,0.2752742372135465,855999,855999,25,0.46112064151096904,0.47275709111471625,0.38169450588701237,19,trial_0002_history=3,completed,3
results/cnn_history_sweep_2026-02-13_12-47-14/trial_0003_history=5,cnn,0.1773740248680115,0.25578806157935663,0.2585467615765589,855999,855999,23,0.4279475133324058,0.47275709111471625,0.327609361621009,12,trial_0003_history=5,completed,5
results/cnn_history_sweep_2026-02-13_12-47-14/trial_0004_history=10,cnn,0.17878330612182616,0.25566310134853454,0.25682286856066366,855999,855999,29,0.432696330602569,0.47275709111471625,0.32083977022269583,11,trial_0004_history=10,completed,10
results/cnn_history_sweep_2026-02-13_12-47-14/trial_0005_history=20,cnn,0.17790354132652283,0.2580382574989099,0.26300723524455577,855999,855999,31,0.4557848999118731,0.47275709111471625,0.3105286363346632,8,trial_0005_history=20,completed,20
results/cnn_history_sweep_2026-02-13_12-47-14/trial_0006_history=30,cnn,0.17572317850589753,0.26616597667003444,0.26623372262266204,855999,855999,33,0.4739370155440446,0.47275709111471625,0.2990944698537533,7,trial_0006_history=30,completed,30
results/cnn_history_sweep_2026-02-13_12-47-14/trial_0007_history=50,cnn,0.17481086313724517,0.27453611223441204,0.27364136666619543,855999,855999,45,0.48510429109711545,0.47275709111471625,0.28085698503556394,3,trial_0007_history=50,completed,50
