Ch_6,Ch_12,Ch_22,Ch_38,Ch_39,Ch_51,Ch_60,Ch_64,Ch_73,Ch_90
25,5,23,32,23,22,8,12,25,20
30,10,25,23,14,13,11,7,34,23
15,2,28,23,13,14,14,10,31,20
12,1,23,17,16,15,19,26,29,19
7,1,32,19,18,15,12,20,25,15
12,8,28,17,26,25,16,10,24,12
15,3,13,20,20,18,9,10,25,14
17,1,23,18,21,22,9,11,23,10
18,1,25,4,11,9,12,7,21,13
15,7,28,15,24,22,11,12,25,15
26,13,42,10,12,12,5,8,32,25
20,17,32,21,15,14,10,14,27,20
19,19,21,10,24,22,13,3,23,17
21,4,35,20,12,12,8,8,25,18
16,12,29,6,18,17,9,11,24,13
15,7,25,2,26,26,12,12,17,13
7,4,30,18,22,21,10,8,24,14
16,7,29,19,15,15,10,7,18,12
19,3,37,16,16,15,5,9,21,12
8,5,28,12,21,18,8,13,33,18
6,2,31,28,22,23,15,11,27,15
14,4,31,18,17,15,11,4,18,11
12,4,38,32,14,12,9,6,26,11
15,3,39,31,14,12,9,10,18,11
18,9,26,21,22,18,4,11,37,13
14,6,40,15,12,11,5,15,23,13
10,2,30,20,16,15,14,9,32,13
11,3,23,34,14,14,6,7,25,18
8,0,27,17,17,19,13,17,21,16
18,8,31,8,19,16,7,10,23,12
21,17,31,5,15,13,13,4,19,16
9,3,25,20,17,16,12,8,21,15
19,12,34,16,12,11,11,8,27,22
17,11,20,6,17,14,13,11,26,16
17,8,22,8,17,15,12,9,22,12
20,5,23,5,15,11,2,9,13,17
27,5,32,12,16,15,10,10,13,10
11,3,29,18,16,13,21,8,18,11
17,2,40,12,19,17,7,11,16,17
11,5,24,12,19,14,14,7,23,21
13,0,26,16,17,14,16,2,11,15
14,3,38,16,19,16,14,14,20,12
10,3,30,20,19,17,15,6,16,15
18,8,25,21,13,12,15,5,21,16
15,1,24,11,17,17,9,9,27,15
16,8,18,10,16,15,12,9,15,11
13,2,28,17,16,16,7,5,24,21
12,4,35,14,11,11,13,7,20,13
22,4,31,13,16,15,10,4,21,12
17,5,37,5,11,11,10,8,28,23
6,2,38,23,16,16,14,9,23,20
7,2,35,50,17,15,8,9,24,15
21,5,28,19,15,16,12,7,19,10
8,0,27,41,10,10,13,7,13,10
9,0,40,29,17,14,10,7,29,15
12,6,31,24,15,17,6,10,33,14
12,4,36,30,32,32,15,5,28,18
18,16,31,22,19,19,9,8,24,13
18,3,18,4,14,13,7,12,21,15
13,3,30,15,17,13,7,9,26,19
3,1,30,24,22,22,9,8,18,18
9,0,25,14,15,15,6,5,23,16
13,1,25,15,16,13,3,5,24,14
12,3,29,25,15,14,11,5,21,11
6,1,39,50,13,14,16,6,23,14
4,11,23,25,18,17,11,7,22,13
9,14,22,16,19,18,6,9,19,14
23,10,30,6,11,11,6,12,18,16
18,7,19,18,11,9,15,11,37,20
21,5,27,15,19,19,11,11,25,27
26,17,32,7,15,15,6,13,21,22
26,12,25,12,9,10,7,12,15,18
25,8,28,22,20,18,10,22,28,21
25,8,21,19,10,9,10,12,47,32
24,6,28,16,22,18,3,29,34,23
22,3,30,17,26,25,9,14,21,17
11,2,27,22,20,17,13,6,18,16
12,1,31,11,14,15,15,20,22,11
7,12,17,19,28,28,18,23,26,14
10,6,26,17,24,22,18,23,24,14
6,6,22,39,28,24,16,11,28,14
12,21,35,24,21,23,15,7,22,13
13,26,22,28,17,18,14,10,36,15
6,10,26,29,21,19,11,9,25,19
7,16,18,18,24,25,11,8,22,17
14,9,25,15,19,20,5,13,20,15
19,11,18,10,25,24,7,7,18,17
13,4,28,14,21,18,15,4,23,17
5,7,25,22,22,23,10,3,24,12
4,1,23,25,29,28,5,16,18,8
9,21,22,32,23,20,9,12,20,10
14,16,25,9,17,18,11,12,17,7
8,3,24,18,28,30,14,6,16,8
12,7,28,32,16,15,17,7,7,5
10,13,36,48,24,22,17,6,20,14
8,6,28,6,21,18,8,17,12,10
8,10,26,9,26,26,11,14,17,5
5,8,18,28,22,20,15,18,20,11
4,8,20,16,19,16,10,9,27,14
6,17,38,26,23,24,19,11,13,6
9,14,26,10,19,19,7,8,13,9
10,8,26,17,20,19,8,7,15,6
7,3,32,38,17,16,10,10,20,13
3,13,44,24,18,16,9,7,16,12
3,13,24,46,23,21,15,4,16,9
6,25,29,20,27,26,12,11,21,14
9,5,32,16,29,27,18,12,13,10
20,4,34,14,16,19,13,18,26,12
13,8,21,13,18,18,11,9,16,6
6,8,22,20,23,22,5,9,17,11
12,9,34,14,17,18,19,18,31,22
10,20,26,5,19,14,12,7,21,8
9,11,31,9,23,22,11,10,17,11
7,8,35,47,22,18,16,5,13,9
8,13,30,34,21,19,10,13,21,11
6,5,20,24,19,20,17,12,12,9
8,13,26,24,21,21,15,8,17,15
