Ch_6,Ch_12,Ch_22,Ch_38,Ch_39,Ch_51,Ch_60,Ch_64,Ch_73,Ch_90
12,10,24,19,16,16,17,5,22,11
15,9,33,19,17,17,8,16,13,8
18,14,39,24,32,30,12,21,11,9
13,9,28,25,29,28,4,13,21,8
27,8,27,5,20,19,8,11,18,10
14,5,29,17,24,26,9,12,13,7
15,14,30,22,20,20,14,13,23,9
15,2,38,20,24,26,9,5,14,12
12,10,33,49,21,20,16,6,18,10
9,11,29,48,23,23,11,12,10,5
7,5,26,3,15,13,4,11,9,2
19,7,39,17,21,21,11,6,23,14
22,30,34,21,14,14,11,7,28,16
20,33,37,20,14,15,17,10,34,23
10,10,26,23,22,19,8,4,29,22
13,5,33,14,19,19,12,6,17,11
18,1,28,20,20,16,12,5,30,14
8,4,15,11,17,17,11,5,21,13
15,9,40,28,19,18,11,12,27,13
11,8,25,50,26,23,11,4,25,16
9,4,33,47,18,18,9,8,24,19
12,8,9,32,16,15,9,7,21,14
13,9,22,24,8,8,4,7,17,9
12,7,19,15,20,18,9,8,19,11
17,3,18,7,12,12,11,11,19,12
24,20,33,28,21,21,5,18,24,21
17,8,25,29,26,28,13,18,27,17
19,9,24,26,25,24,7,19,34,18
23,6,29,21,34,32,10,22,22,13
7,0,23,12,19,18,4,13,28,19
13,2,23,24,25,24,17,31,20,11
9,0,32,32,24,25,11,18,22,17
13,4,23,29,30,30,10,10,20,13
14,3,33,35,25,22,13,12,13,7
9,1,50,51,22,23,17,11,17,11
11,1,42,46,22,22,7,5,21,8
20,16,30,29,14,14,7,7,18,12
27,24,28,21,12,12,18,11,28,20
14,10,15,24,13,12,12,7,24,16
14,6,27,24,10,10,14,10,19,11
12,1,28,27,14,13,13,10,30,17
16,2,18,28,13,12,9,6,19,11
13,0,26,21,12,11,10,5,18,11
13,9,30,23,12,11,16,8,16,8
21,5,23,12,14,16,11,6,22,11
18,5,30,14,16,14,13,6,18,11
18,3,26,8,11,12,7,5,9,8
21,14,34,18,11,11,8,14,18,10
22,20,21,29,16,15,12,18,16,11
12,4,25,39,21,20,12,16,10,7
16,11,18,62,29,29,15,9,14,8
16,9,14,46,25,26,11,23,17,10
19,6,23,38,20,22,20,11,12,7
17,3,30,28,17,14,6,13,17,7
14,1,25,22,13,12,10,6,20,9
28,0,13,39,28,28,16,15,12,6
24,0,27,33,23,22,13,8,10,3
11,1,25,13,17,14,12,12,12,7
15,1,18,27,22,21,13,21,17,7
13,4,30,38,22,20,12,9,18,4
23,7,25,25,23,25,8,13,15,7
21,1,36,24,22,20,15,16,4,2
20,3,23,33,21,19,7,17,14,7
19,3,25,26,21,20,11,4,17,2
26,2,27,30,25,23,10,10,11,4
18,4,23,34,29,28,9,6,19,6
18,3,22,14,25,21,11,12,13,7
16,2,33,28,25,24,13,11,17,10
18,0,23,40,20,20,6,7,17,7
18,5,25,41,19,16,8,13,20,9
31,2,22,51,21,19,8,11,21,10
10,6,19,26,14,14,7,10,16,11
10,2,22,19,12,11,8,9,15,9
17,3,20,15,18,17,8,12,16,4
28,4,24,29,24,24,18,4,16,5
21,4,25,37,23,23,17,16,19,12
24,10,27,9,20,19,10,13,22,12
13,9,27,12,21,20,14,5,22,12
7,5,19,18,16,13,8,5,20,10
15,7,38,31,23,20,13,15,28,11
14,13,25,17,26,24,9,14,32,19
16,23,37,15,19,19,18,16,29,19
21,2,22,15,12,9,7,5,5,2
26,10,38,30,15,12,11,14,25,6
13,4,27,30,20,17,9,25,19,12
19,6,27,23,19,16,10,11,21,7
14,10,24,5,16,14,3,18,19,6
9,9,28,15,27,24,8,11,29,11
17,4,28,27,18,14,15,14,18,7
14,3,29,18,16,13,7,10,14,8
11,3,24,21,21,18,12,14,29,16
14,6,29,16,26,22,15,9,21,10
23,9,34,20,18,16,12,10,19,11
8,6,36,45,27,23,11,9,24,10
13,5,50,23,15,16,10,7,31,15
13,3,22,21,16,15,6,8,17,8
14,2,30,33,14,9,8,9,34,20
15,5,29,16,18,16,14,13,33,16
16,3,31,21,19,17,13,9,19,13
17,15,26,15,21,18,8,11,16,9
15,5,37,16,17,17,11,13,19,14
11,5,11,16,19,19,19,5,22,19
13,0,33,39,19,16,14,6,14,7
19,2,27,21,14,13,9,12,20,6
11,0,25,15,15,15,16,13,8,12
8,0,28,22,21,24,9,14,24,12
5,0,26,27,17,16,11,6,28,14
14,2,30,21,12,10,3,16,24,17
11,4,22,29,20,18,6,7,24,14
9,1,21,17,12,12,7,8,21,8
13,3,28,18,18,16,14,16,27,12
10,0,22,17,14,14,11,8,22,12
17,6,24,29,21,20,11,7,24,8
12,11,34,37,15,13,10,8,25,15
19,16,37,22,21,19,6,17,25,18
25,9,26,19,17,16,12,8,14,8
17,4,29,16,25,22,6,13,14,7
7,2,30,16,13,13,13,14,20,13
12,3,28,29,15,12,16,10,19,7
20,4,31,28,21,20,12,7,18,11
16,6,26,17,28,28,8,7,22,10
17,5,41,11,31,27,14,14,28,12
17,16,30,7,25,23,5,17,19,7
16,22,26,16,23,24,12,7,16,9
9,5,29,10,15,14,12,14,12,5
16,8,42,19,29,25,8,16,34,7
21,5,28,23,19,19,13,17,38,19
20,14,23,18,14,11,8,19,20,13
28,6,29,28,20,18,10,20,25,13
15,4,20,25,16,13,7,16,22,12
23,16,21,24,21,19,10,16,32,20
5,8,15,29,26,23,21,21,18,11
12,7,18,38,22,21,11,5,22,13
10,1,22,39,22,22,9,13,13,11
9,6,28,49,27,24,11,6,11,6
9,0,30,44,18,16,17,17,24,10
6,1,26,31,21,20,6,7,23,9
15,2,27,11,17,17,6,9,25,13
7,6,25,27,32,26,6,7,14,6
11,5,27,33,24,23,10,4,12,2
14,17,25,54,29,27,8,8,9,5
16,18,35,21,16,15,10,10,20,11
24,2,30,18,12,11,3,4,16,8
13,4,24,34,18,16,10,9,20,11
14,1,32,32,14,14,8,10,26,16
8,0,33,29,14,10,13,8,28,14
12,5,22,29,16,13,11,8,27,13
13,4,29,23,17,14,10,11,28,14
9,4,32,39,16,15,12,10,19,12
12,5,40,24,13,12,5,5,17,16
11,12,22,28,19,17,13,7,18,10
10,8,35,17,10,9,14,12,16,8
10,10,35,6,21,16,10,24,14,6
22,8,34,9,17,14,8,15,15,11
13,2,25,18,18,17,3,7,37,17
11,2,40,22,19,16,9,8,17,10
7,8,21,35,14,14,13,6,18,12
8,9,22,12,18,18,12,7,16,6
9,13,25,34,17,14,15,11,23,12
12,12,24,21,17,15,8,8,25,13
4,12,36,33,23,22,13,7,21,11
2,10,26,42,27,26,12,21,19,10
9,2,27,21,19,16,8,10,23,11
11,7,33,25,19,14,9,13,21,8
14,6,27,24,14,11,8,12,21,13
20,11,31,10,24,22,6,11,23,11
11,8,28,41,23,21,16,9,17,9
8,9,28,46,26,22,13,7,29,9
10,9,22,21,19,15,5,12,22,12
9,6,32,32,14,13,3,11,21,10
5,5,22,42,16,15,4,13,17,11
9,1,28,34,17,17,8,12,19,14
12,1,17,53,18,16,8,8,22,12
8,8,25,11,11,9,9,6,11,6
7,7,27,31,23,24,7,12,15,7
9,12,29,25,17,12,6,8,22,9
7,7,22,30,19,14,9,8,14,9
11,8,28,26,16,14,10,13,12,12
7,13,28,22,25,20,6,10,15,6
3,3,30,65,23,23,13,11,26,11
10,6,37,64,22,20,11,15,17,7
5,7,24,43,29,26,13,11,22,12
8,5,27,39,14,14,7,9,11,9
10,4,29,18,15,13,6,6,7,2
13,13,15,23,22,21,7,7,16,8
9,13,19,56,19,19,9,13,14,5
14,8,20,9,9,8,6,15,17,6
10,7,31,29,14,12,4,12,10,6
11,7,32,25,17,13,10,10,16,6
13,7,31,28,18,16,11,13,18,14
8,15,32,89,19,14,13,8,14,18
4,1,25,27,16,14,2,13,13,8
6,0,28,43,28,27,8,11,15,5
8,5,26,26,20,15,7,12,15,4
9,3,30,29,18,16,8,19,16,9
5,1,30,35,18,15,10,8,21,10
14,3,29,36,12,9,9,10,17,14
26,8,23,9,17,16,4,4,19,9
14,6,22,11,24,22,5,13,22,25
15,8,17,18,21,19,5,11,21,11
10,1,27,17,26,21,5,8,17,14
6,4,25,37,17,14,10,15,17,11
8,3,31,51,17,15,12,9,17,8
12,2,27,42,22,22,5,11,30,12
11,2,17,54,13,12,13,15,29,18
18,1,26,36,15,13,9,10,17,8
8,0,21,27,25,21,7,3,19,8
9,1,21,27,15,13,11,16,12,6
11,8,21,44,19,16,6,9,10,4
4,2,21,43,17,15,10,4,9,5
13,1,21,41,14,12,9,7,19,7
11,7,19,4,17,16,6,7,17,12
7,4,22,24,26,22,9,6,16,7
10,13,24,31,19,19,7,14,17,10
14,5,27,10,23,19,8,6,19,11
12,2,28,9,17,17,9,5,19,8
11,0,23,8,9,10,9,8,19,9
14,0,29,18,19,18,6,13,13,10
11,1,27,20,15,12,10,5,18,7
16,4,31,4,18,17,12,7,20,9
12,3,29,24,21,20,12,13,21,7
11,0,24,28,19,17,7,7,17,11
11,4,14,21,16,15,7,7,13,13
5,2,18,34,24,21,6,13,22,12
7,0,19,33,15,14,7,7,17,10
12,2,27,28,15,13,8,8,11,7
13,2,25,43,13,12,6,3,19,9
11,1,19,21,16,15,12,10,27,12
21,2,26,12,10,10,10,8,20,6
22,7,22,5,13,11,5,8,16,15
18,11,27,35,17,16,4,13,40,24
16,25,23,43,17,16,14,21,62,28
17,8,24,45,22,20,17,14,28,18
10,9,26,28,19,16,5,10,15,14
11,7,25,25,15,13,14,15,23,11
14,2,17,19,14,12,6,24,31,13
9,2,14,11,10,8,9,15,32,17
12,6,19,34,19,14,11,30,27,10
21,1,24,15,22,20,6,19,17,9
14,5,20,31,28,27,12,24,24,4
12,5,23,26,17,16,5,15,8,5
11,2,21,20,14,14,10,5,19,4
17,5,24,30,24,20,5,4,17,6
11,9,18,50,23,22,4,8,13,4
8,9,19,37,23,24,7,6,13,5
9,23,19,35,22,19,8,7,12,3
19,17,27,14,19,18,4,6,24,6
11,27,23,17,21,16,5,6,20,9
13,8,26,31,16,15,1,7,15,4
21,4,28,38,13,13,7,15,7,3
17,12,11,19,20,19,8,6,11,6
13,1,18,31,18,18,10,11,21,10
9,4,23,26,19,16,12,8,21,10
10,5,22,42,24,23,8,11,11,3
9,12,14,22,25,23,10,12,10,2
16,2,16,30,22,19,9,5,23,6
17,6,25,48,18,16,3,10,19,8
14,24,31,22,15,16,5,8,23,8
20,20,19,9,17,13,6,6,24,12
11,11,17,18,14,14,7,11,16,4
11,1,16,38,16,15,12,17,28,8
3,6,22,38,15,13,7,15,11,6
12,14,30,23,28,28,3,6,18,4
13,22,20,30,25,24,5,9,18,8
10,7,18,41,18,15,9,1,19,8
12,18,31,34,22,21,8,7,19,10
13,8,17,50,21,19,6,3,18,9
12,20,17,29,13,9,7,5,15,5
16,20,27,23,27,23,5,14,25,9
17,22,22,38,19,20,9,5,26,11
16,15,34,28,20,19,12,13,15,9
12,13,23,19,21,19,7,3,21,11
17,7,18,21,24,24,9,4,22,17
13,4,26,26,19,19,11,7,25,14
9,6,26,20,14,14,6,9,12,6
17,31,21,32,22,20,14,9,17,8
20,32,29,20,22,21,10,9,21,9
10,11,15,38,26,24,7,4,21,17
18,9,21,46,25,27,8,10,20,15
11,6,33,66,14,18,5,9,15,8
13,4,17,41,19,20,4,10,20,11
23,12,18,49,23,24,3,8,19,13
13,16,24,43,22,23,11,10,19,11
11,6,23,42,22,20,5,11,15,8
17,21,25,39,24,20,4,8,24,13
9,14,26,32,34,35,6,11,20,11
9,11,23,22,20,23,4,11,24,11
10,6,24,28,21,24,11,11,15,10
11,8,22,22,22,20,8,11,14,6
18,21,29,16,20,17,6,11,33,12
15,5,15,20,20,19,10,6,16,4
15,15,24,10,26,18,3,7,12,3
12,10,17,28,19,19,7,18,27,10
12,16,27,21,23,21,9,9,23,8
9,5,18,21,11,11,6,14,20,9
12,1,17,21,17,16,8,10,13,9
14,5,34,35,18,17,16,10,20,7
10,16,28,49,17,15,13,15,9,4
9,30,30,36,25,26,10,12,13,5
5,19,20,44,28,30,9,13,15,5
5,5,18,64,19,21,9,12,17,8
21,13,24,29,18,15,0,8,15,15
12,7,32,15,7,7,6,7,10,6
11,13,25,16,14,13,0,3,15,6
16,12,25,17,14,11,9,14,11,2
26,11,22,19,17,19,4,20,13,9
21,18,27,19,15,13,3,12,19,13
11,7,28,23,19,18,7,10,4,16
21,12,22,19,13,14,8,14,9,5
19,16,25,10,20,18,5,21,16,11
10,13,21,17,16,15,5,13,14,8
16,10,21,26,13,13,10,10,11,5
14,2,24,24,17,15,10,5,15,10
18,6,28,27,23,20,10,12,15,4
12,8,26,51,24,22,5,9,20,10
13,0,21,44,22,19,6,11,20,7
19,7,20,25,17,16,7,6,11,6
20,9,17,32,22,19,11,13,21,10
22,0,18,49,28,28,7,9,16,13
15,8,27,47,16,16,6,7,20,9
9,13,26,27,16,13,7,8,25,12
16,8,20,16,20,17,5,10,14,11
16,8,28,19,20,20,13,13,18,11
7,0,23,22,23,24,9,14,16,13
10,1,15,52,17,15,5,8,24,12
19,7,21,36,16,16,7,13,13,8
21,16,28,19,18,16,0,8,22,15
12,8,20,18,10,10,5,6,18,12
9,8,20,28,15,15,3,7,29,17
23,23,22,18,14,13,6,9,36,28
18,21,26,22,13,13,3,13,34,20
12,6,35,23,17,15,7,16,23,19
5,16,26,53,19,17,10,6,19,14
8,10,31,14,14,12,7,6,13,6
18,17,32,53,28,29,6,10,16,7
18,16,27,30,19,18,8,12,25,15
19,6,26,27,12,12,9,6,29,17
14,4,20,15,12,12,5,8,32,26
11,5,28,35,19,19,8,5,32,25
13,12,33,36,14,13,4,5,19,14
15,6,18,13,13,12,7,6,7,2
17,5,21,23,11,10,3,11,20,11
19,4,18,18,15,12,6,11,12,9
12,5,26,52,16,15,4,12,24,13
14,6,21,40,18,16,7,9,18,11
29,2,14,53,14,13,7,18,22,14
14,3,25,55,18,19,10,10,19,10
20,3,24,16,13,12,5,5,24,12
11,0,29,35,16,16,7,4,25,17
9,11,26,12,16,16,8,8,15,9
15,1,25,19,15,14,1,5,19,9
16,1,22,35,11,11,4,8,27,16
15,3,24,38,11,12,4,10,26,11
14,9,21,13,14,15,11,0,13,5
10,3,34,33,19,19,10,5,21,14
6,9,34,37,12,12,6,13,10,9
8,2,22,25,13,12,3,8,27,17
8,2,14,17,12,12,4,5,16,12
6,4,26,27,12,12,3,3,15,9
8,3,34,44,15,14,5,4,21,12
13,0,22,43,12,12,9,6,24,15
10,4,21,25,16,15,8,3,23,9
14,2,17,27,11,10,4,7,16,7
13,7,27,41,17,18,8,7,26,9
9,1,23,24,20,20,5,8,23,15
18,14,24,14,9,9,7,2,10,3
11,7,26,27,10,10,11,8,24,12
17,1,18,41,13,13,1,5,22,8
18,6,23,24,14,12,7,9,6,2
15,9,24,19,13,14,3,4,7,6
4,4,25,52,18,19,13,9,17,9
7,5,13,31,17,17,4,8,24,13
6,23,12,26,14,14,7,6,21,12
11,8,23,32,18,18,5,5,20,5
6,3,26,65,8,9,6,3,16,9
16,9,23,36,13,13,3,9,24,14
15,6,18,21,18,17,4,9,10,8
13,3,23,36,17,17,4,3,19,11
14,2,34,43,9,11,1,5,20,10
5,7,30,34,15,15,8,8,18,15
6,0,19,34,14,13,4,10,19,13
6,7,37,29,17,17,7,7,8,4
12,4,16,40,17,15,5,5,17,10
7,7,19,43,12,12,7,6,14,10
10,4,27,52,10,9,8,6,11,10
8,6,22,30,10,10,10,6,12,6
11,2,39,43,15,15,11,3,12,5
9,0,32,43,12,10,5,2,13,10
4,1,23,35,15,16,5,6,16,8
4,1,26,56,18,18,8,1,13,8
5,7,23,44,11,10,6,5,25,12
11,3,31,70,18,17,17,4,18,8
10,0,14,22,12,12,5,2,18,9
7,3,27,31,16,17,8,6,16,10
9,0,15,34,13,13,5,8,7,5
10,7,28,38,9,9,7,7,11,9
6,1,22,38,13,12,5,8,20,13
9,1,17,32,9,9,4,8,17,10
2,6,22,55,14,14,3,5,25,13
10,4,26,58,20,19,13,5,14,7
6,5,22,24,16,16,6,5,19,12
8,12,29,26,14,14,5,11,17,5
6,0,32,48,17,17,10,5,11,12
9,0,31,45,14,15,6,5,9,3
6,10,38,50,18,18,10,1,17,9
4,2,29,73,12,11,8,4,18,10
6,6,22,14,15,14,4,5,19,8
9,6,29,7,17,16,2,2,19,13
16,10,27,6,16,14,4,6,26,15
30,14,21,3,10,10,7,9,22,21
29,13,21,14,17,16,3,5,22,27
31,11,29,30,23,24,11,15,15,20
14,4,25,33,22,20,4,20,19,16
21,0,29,31,19,20,13,14,12,8
19,1,31,19,21,21,9,20,17,10
9,1,24,26,13,12,7,23,13,9
8,1,22,18,13,13,2,11,19,8
29,2,16,31,24,24,5,21,16,6
18,1,23,31,22,23,7,17,12,5
18,1,23,34,27,25,7,9,19,7
22,6,22,36,23,21,6,17,15,6
14,8,24,32,14,13,11,13,20,10
9,2,28,25,23,20,11,14,19,8
12,4,19,23,21,18,8,12,16,5
11,6,23,31,24,21,6,21,24,8
10,4,21,42,23,20,13,10,12,6
6,2,21,37,19,16,7,3,13,8
12,7,24,36,24,22,3,6,18,5
14,3,31,14,17,20,4,5,17,7
20,7,28,19,24,22,13,10,17,11
14,7,38,11,19,16,3,8,18,12
15,6,20,27,22,21,6,4,19,8
21,4,19,20,19,15,2,4,11,4
12,6,20,24,26,23,5,7,23,5
20,8,31,29,22,20,7,15,31,13
14,3,26,20,21,19,6,11,19,7
21,14,25,28,14,13,6,12,15,5
12,14,24,30,30,28,4,4,16,4
13,9,25,25,16,14,6,6,12,4
12,5,17,46,22,22,6,8,9,5
17,8,23,13,28,30,3,12,14,3
9,1,20,30,31,28,5,13,12,2
9,1,28,18,23,22,4,4,8,1
17,6,23,39,25,25,5,5,10,5
20,10,26,36,17,17,5,10,14,5
13,11,30,40,27,25,6,13,18,7
11,22,36,29,25,26,4,12,12,5
9,4,21,45,13,12,6,1,11,5
11,11,19,47,20,21,3,8,11,4
7,6,17,30,21,22,6,10,14,5
10,7,24,28,26,24,8,7,17,8
16,15,28,27,25,23,4,7,26,7
14,5,25,10,27,26,6,7,15,8
13,27,38,7,28,28,9,12,21,5
13,19,24,22,25,21,3,11,7,2
12,16,30,21,19,21,10,6,17,7
9,14,33,30,26,26,5,10,9,5
10,10,27,44,21,20,6,14,19,10
14,19,21,17,31,30,3,13,23,8
21,14,29,10,18,16,2,8,22,13
14,7,20,5,21,19,2,11,27,16
12,10,26,16,22,20,11,12,27,17
8,5,30,24,21,19,16,12,32,27
8,13,27,31,21,20,6,4,12,10
13,11,16,22,28,31,6,10,14,10
15,13,21,37,31,32,5,14,17,10
12,27,29,24,29,30,2,8,20,9
21,17,31,28,27,25,8,12,14,6
16,10,18,18,13,14,1,13,11,6
18,13,24,16,16,13,4,7,17,15
16,6,20,47,16,16,5,10,21,16
17,13,19,20,11,11,3,6,15,6
5,12,29,32,18,14,5,12,12,5
7,9,20,23,13,12,2,16,15,9
30,6,21,11,18,20,6,26,16,8
16,12,28,36,19,19,8,12,13,7
10,14,25,16,15,13,4,8,17,7
13,8,22,8,19,17,2,5,13,5
8,1,32,30,18,18,9,11,13,9
14,9,21,21,17,13,2,8,15,8
10,23,21,27,22,23,4,13,20,7
11,7,17,27,23,20,8,16,17,10
15,5,15,16,15,13,5,7,20,10
19,9,22,52,20,20,10,11,14,5
6,5,33,50,20,20,7,7,11,10
23,1,23,20,17,16,6,3,9,3
26,10,22,27,20,20,4,10,14,5
20,7,22,28,21,19,1,8,13,4
24,10,23,6,17,17,2,8,20,12
8,1,19,26,22,22,2,3,14,4
10,3,27,25,15,16,4,6,17,6
24,11,15,7,18,17,4,12,17,10
25,7,19,16,21,21,5,13,17,10
9,13,19,28,24,24,8,16,11,8
32,5,16,16,13,12,8,20,13,9
18,8,19,10,21,20,5,4,12,4
19,10,18,13,17,19,3,8,20,6
21,35,19,12,17,15,6,8,25,17
13,26,38,33,23,24,6,20,20,10
10,12,35,34,18,19,8,18,20,13
9,3,21,36,18,16,5,19,7,7
19,5,24,44,21,21,7,8,18,13
23,5,21,34,25,26,8,19,14,11
22,6,25,28,22,19,8,20,20,10
26,4,21,23,33,38,4,22,14,7
21,2,24,27,24,23,6,23,18,11
13,0,18,36,21,19,3,13,19,8
13,0,27,24,17,19,5,17,14,7
19,2,29,38,21,20,2,19,10,7
28,11,22,31,24,25,11,13,21,8
15,3,25,16,21,19,4,13,27,8
17,5,21,17,19,19,2,6,23,13
15,2,21,25,21,21,6,15,16,9
20,2,18,35,22,20,9,7,20,13
10,2,19,27,19,22,2,12,23,13
15,4,22,22,20,17,2,7,20,11
23,13,31,25,18,17,8,13,24,14
35,21,29,55,20,19,7,28,36,21
14,13,27,49,10,8,11,16,16,9
17,11,29,32,18,19,11,14,23,10
19,21,31,35,12,10,9,9,30,21
19,8,25,49,24,23,4,15,10,7
16,10,26,20,21,19,4,17,17,15
12,8,17,13,27,26,6,13,17,24
27,6,21,9,24,23,6,22,22,12
28,3,21,12,26,24,4,16,26,12
19,18,30,4,23,22,0,22,20,9
26,9,28,16,18,16,4,7,16,5
23,10,29,7,25,21,3,11,19,5
17,12,26,5,19,19,2,9,21,10
24,23,26,6,25,26,7,4,23,11
16,6,25,7,17,16,3,8,17,18
26,3,21,7,18,18,6,2,15,11
20,9,32,25,18,17,5,15,21,15
22,31,40,20,22,20,5,15,25,13
24,32,28,7,17,17,2,8,18,14
30,19,29,21,14,11,5,10,24,16
30,4,25,27,15,14,8,17,23,22
29,9,16,24,20,17,9,16,24,25
31,4,28,15,19,19,0,19,26,19
22,11,18,18,16,16,3,13,21,17
9,0,24,31,19,18,9,29,28,21
16,3,13,22,21,17,5,12,22,18
13,2,16,14,24,24,4,16,25,20
23,13,21,18,20,20,4,10,20,14
23,21,23,9,23,22,7,7,21,14
30,14,28,14,24,25,6,11,21,16
25,10,27,27,20,23,8,6,31,19
18,7,22,6,27,26,3,10,23,11
21,1,21,16,21,20,2,9,22,20
17,10,30,10,19,19,3,14,20,17
21,13,26,10,24,23,4,8,17,8
24,15,29,15,24,23,2,7,16,11
11,4,33,16,24,25,2,8,24,17
14,7,35,12,21,19,3,13,18,6
14,17,21,7,20,21,4,11,23,11
26,21,27,10,19,19,4,4,10,4
11,0,36,12,25,23,7,3,17,6
14,1,21,4,21,21,3,5,19,8
10,16,21,7,25,27,5,13,10,7
23,9,30,12,29,33,8,10,14,9
21,27,26,8,18,16,6,6,25,18
13,10,24,22,24,23,4,4,11,3
21,8,33,52,21,17,12,5,27,6
25,21,30,19,21,17,2,9,16,17
19,12,27,7,16,13,3,12,13,18
25,9,24,27,19,18,4,14,29,18
18,0,14,8,23,22,7,8,15,8
15,1,20,6,23,22,5,21,21,9
10,3,23,16,12,11,6,10,27,14
18,11,25,11,19,17,3,11,18,10
25,15,27,25,23,24,8,13,24,15
10,3,27,10,25,25,5,10,17,12
7,3,38,23,18,19,5,13,23,13
12,10,30,19,13,13,5,12,12,7
12,5,25,16,21,20,10,20,9,4
29,14,26,17,28,30,1,5,22,11
23,20,29,19,18,17,7,8,29,12
16,5,27,14,20,20,5,5,19,10
19,9,33,21,17,18,4,7,21,12
16,12,16,18,27,28,6,9,19,15
23,13,25,29,19,17,4,13,17,10
12,8,25,30,34,32,6,17,19,15
15,16,24,19,26,22,5,8,23,14
14,8,22,13,22,25,6,6,20,12
23,21,22,14,27,25,3,8,27,13
22,17,38,15,30,30,3,7,14,5
28,8,25,18,25,25,7,9,12,3
13,5,29,24,21,19,9,9,13,7
15,11,24,30,28,26,6,6,20,15
21,10,22,16,28,26,5,11,18,13
20,8,17,9,21,23,7,3,17,11
17,9,31,22,21,20,10,16,20,11
20,14,25,9,23,24,6,15,12,4
16,10,29,18,25,25,9,7,11,6
14,11,22,16,26,28,3,5,10,11
30,9,23,20,24,24,5,7,9,5
27,10,33,13,16,16,6,4,12,5
27,30,29,24,15,14,2,17,21,15
26,13,30,22,10,7,2,6,27,17
33,22,36,34,13,13,3,16,17,8
20,19,25,25,28,28,4,12,24,16
33,19,19,42,26,28,6,9,24,17
32,16,26,36,19,20,4,16,23,21
28,18,26,24,18,16,3,12,21,18
14,13,24,19,13,10,3,12,20,18
22,16,20,32,16,17,6,19,20,14
30,14,20,38,21,19,12,10,28,16
29,27,15,45,22,22,10,19,30,18
19,22,13,37,18,16,4,13,21,17
25,14,3,39,10,9,2,13,28,19
28,3,21,27,15,14,4,25,17,11
25,2,17,44,15,12,6,7,20,11
19,12,12,22,19,15,7,11,24,18
21,5,18,13,24,21,8,13,30,19
24,5,20,27,13,14,12,16,30,21
27,10,25,11,15,12,9,18,19,10
18,6,32,10,19,16,10,20,19,11
28,11,27,25,22,19,6,8,27,15
19,8,23,11,14,14,7,6,21,12
18,7,23,27,22,19,5,8,30,11
21,3,30,32,17,17,7,14,14,5
24,4,23,19,18,14,6,11,18,9
22,10,26,22,16,13,9,25,22,7
26,14,13,22,18,18,6,5,13,7
19,12,20,13,18,17,5,10,19,13
23,7,29,22,15,14,8,25,22,12
34,5,22,33,26,25,10,9,23,13
19,8,20,18,23,23,7,15,15,11
23,7,22,13,10,10,5,11,24,12
23,10,11,14,15,15,5,14,18,14
17,7,23,4,21,20,6,12,15,19
28,23,32,12,23,20,4,10,17,15
27,4,23,9,14,14,7,22,19,18
23,29,26,12,20,20,6,11,22,18
10,0,22,33,19,18,12,27,17,12
23,3,22,28,19,21,9,13,18,15
19,3,22,24,22,25,6,13,19,16
24,13,20,15,22,21,4,5,22,10
14,24,21,30,26,27,5,3,19,17
18,12,22,36,20,18,10,8,16,7
13,2,15,20,10,10,6,7,14,7
24,4,29,38,19,18,5,9,18,8
18,10,26,37,20,23,8,7,17,14
19,11,22,45,25,25,6,21,19,8
31,14,21,14,15,14,3,9,18,8
28,12,29,16,19,18,8,14,17,11
18,2,13,16,21,22,6,7,16,10
18,7,27,51,21,22,9,7,13,12
13,7,21,31,19,20,6,10,11,12
19,17,23,12,16,14,4,16,13,7
17,4,31,30,20,20,12,5,16,17
29,13,26,13,21,19,5,17,14,11
20,10,14,11,17,19,2,9,13,3
17,10,17,9,23,27,2,4,11,6
19,18,27,13,17,18,4,8,17,6
21,9,18,13,19,19,1,19,9,6
18,3,19,11,22,21,3,10,8,10
15,28,21,22,19,21,8,9,15,13
15,3,28,28,20,19,8,10,20,13
18,6,20,12,12,11,3,8,15,9
14,26,19,43,23,23,5,10,21,16
19,17,17,31,22,21,3,4,23,12
19,6,19,22,18,18,2,5,12,17
15,9,24,28,16,16,5,5,14,18
13,21,32,20,17,16,7,11,10,9
18,9,16,19,21,20,4,10,12,7
12,4,21,36,25,25,6,9,14,6
11,5,18,20,9,10,2,9,12,6
13,6,25,38,28,26,11,7,19,12
20,12,25,23,9,10,2,6,17,14
19,8,37,24,20,22,3,5,26,25
20,16,29,17,23,22,5,3,9,6
11,2,21,27,21,21,9,9,15,9
18,0,19,30,18,18,9,6,26,18
14,6,20,26,16,14,6,12,13,10
11,14,22,19,17,16,2,8,13,7
6,10,18,48,25,25,6,7,23,14
7,8,25,55,8,8,6,9,21,11
15,12,18,29,31,30,5,1,25,18
18,6,19,28,24,22,4,1,17,13
13,17,32,11,12,10,6,11,16,14
16,8,29,28,18,18,11,11,26,18
13,4,26,39,15,16,5,16,20,15
17,14,20,14,23,23,6,4,23,15
11,7,22,35,21,22,5,6,34,13
16,3,20,17,16,15,8,2,21,12
10,1,13,39,21,18,7,4,30,18
21,8,22,31,16,15,11,8,15,10
15,12,24,17,10,8,1,6,20,7
19,13,29,22,17,15,4,10,12,10
13,31,17,21,19,19,3,3,13,9
20,7,14,9,17,12,2,8,12,7
10,7,18,26,20,20,7,10,17,13
19,26,27,7,17,15,3,7,16,11
19,11,18,19,24,22,9,7,25,18
24,5,17,46,14,15,4,7,21,13
