Channel,TotalCrossings,Stimulations,LowCrossings,HighCrossings
6,157,29,110,47
12,282,43,266,16
22,222,43,194,28
38,164,22,118,46
39,198,37,188,10
51,228,41,208,20
60,147,23,115,32
64,214,31,188,26
73,209,34,143,66
90,240,33,187,53
