model_type,test_loss,test_corr,best_val_corr,total_params,trainable_params,epochs_trained,mean_pattern_corr,loo_mean_corr,model_sample_mean_corr,neurons_model_beats_loo,experiment,status,kernel_sizes,sweep_name
cnn,0.1784807869195938,0.2615087102112804,0.256806011144526,63039,63039,50,0.6563524714818425,0.4727570911147162,0.4636565708648892,25,trial_0000,completed,[1],cnn_kernel_sweep
cnn,0.1617684228420257,0.3603171369491587,0.3658509365261619,89919,89919,50,0.7413440944088439,0.4727570911147162,0.5930622577301374,51,trial_0001,completed,[3],cnn_kernel_sweep
cnn,0.1618328980207443,0.3575146244132609,0.3636885176703544,116799,116799,50,0.7408871183548439,0.4727570911147162,0.6051788623194175,51,trial_0002,completed,[5],cnn_kernel_sweep
cnn,0.1613639931678772,0.3579517159269057,0.3655587413079075,183999,183999,50,0.7278335016315544,0.4727570911147162,0.5954134477537594,51,trial_0003,completed,[10],cnn_kernel_sweep
cnn,0.1633154273033142,0.3464790742449224,0.3524459475291921,318399,318399,35,0.6854871051074006,0.4727570911147162,0.5736813424982484,44,trial_0004,completed,[20],cnn_kernel_sweep
cnn,0.1655444183349609,0.3325117289504715,0.3385185982036414,452799,452799,31,0.654151780291284,0.4727570911147162,0.5586133564273125,43,trial_0005,completed,[30],cnn_kernel_sweep
cnn,0.1679818280935287,0.3231404994075521,0.325910626561125,855999,855999,26,0.6101206705852891,0.4727570911147162,0.536858912915842,40,trial_0006,completed,[60],cnn_kernel_sweep
