run_dir,model_type,test_loss,test_corr,best_val_corr,total_params,trainable_params,epochs_trained,mean_pattern_corr,loo_avg_mean_corr,model_avg_mean_corr,neurons_model_beats_loo_avg,loo_temporal_mean_corr,model_temporal_mean_corr,neurons_model_beats_loo_temporal,experiment,status,_arch
results/multilayer_cnn_hist_sweep_2026-02-23_23-15-16/trial_0016_history=2_kernel_sizes=5x5_conv_channels=128x64_fc_dims=256,cnn,0.1603112815618515,0.2837314070735276,0.2886457030686919,141567,141567,50,0.7025852507827008,0.47275709111471625,0.5361798368043242,41,0.3815135061740875,0.29305151104927063,5,trial_0016_history=2_kernel_sizes=5x5_conv_channels=128x64_fc_dims=256,completed,"{'kernel_sizes': [5, 5], 'conv_channels': [128, 64], 'fc_dims': [256], 'history': 2}"
results/multilayer_cnn_hist_sweep_2026-02-23_23-15-16/trial_0017_history=2_kernel_sizes=10x10_conv_channels=128x64_fc_dims=256,cnn,0.1602956453561783,0.2767124659330378,0.28092865638095016,249727,249727,50,0.6913271989211607,0.47275709111471625,0.5282418377896357,41,0.3815135061740875,0.28755462169647217,5,trial_0017_history=2_kernel_sizes=10x10_conv_channels=128x64_fc_dims=256,completed,"{'kernel_sizes': [10, 10], 'conv_channels': [128, 64], 'fc_dims': [256], 'history': 2}"
results/multilayer_cnn_hist_sweep_2026-02-23_23-15-16/trial_0018_history=2_kernel_sizes=3x5_conv_channels=128x64_fc_dims=256,cnn,0.1597151081562042,0.2878273509830745,0.2937309142044092,114687,114687,50,0.7129375262010312,0.47275709111471625,0.5451415444209536,42,0.3815135061740875,0.29684874415397644,5,trial_0018_history=2_kernel_sizes=3x5_conv_channels=128x64_fc_dims=256,completed,"{'kernel_sizes': [3, 5], 'conv_channels': [128, 64], 'fc_dims': [256], 'history': 2}"
results/multilayer_cnn_hist_sweep_2026-02-23_23-15-16/trial_0019_history=2_kernel_sizes=5x10_conv_channels=128x64_fc_dims=256,cnn,0.1587695233821869,0.2861227543504957,0.29164672975918027,182527,182527,50,0.6947730110153635,0.47275709111471625,0.5325250165783466,39,0.3815135061740875,0.29618918895721436,7,trial_0019_history=2_kernel_sizes=5x10_conv_channels=128x64_fc_dims=256,completed,"{'kernel_sizes': [5, 10], 'conv_channels': [128, 64], 'fc_dims': [256], 'history': 2}"
results/multilayer_cnn_hist_sweep_2026-02-23_23-15-16/trial_0020_history=5_kernel_sizes=3x3_conv_channels=256x128_fc_dims=256,cnn,0.17132937824726105,0.2240379213809261,0.2235801219854315,229311,229311,47,0.6697163377243702,0.47275709111471625,0.42481955111703956,15,0.3815135061740875,0.2291887253522873,1,trial_0020_history=5_kernel_sizes=3x3_conv_channels=256x128_fc_dims=256,completed,"{'kernel_sizes': [3, 3], 'conv_channels': [256, 128], 'fc_dims': [256], 'history': 5}"
results/multilayer_cnn_hist_sweep_2026-02-23_23-15-16/trial_0021_history=5_kernel_sizes=5x5_conv_channels=256x128_fc_dims=256,cnn,0.17010626661777498,0.2281030829743816,0.23086438279445565,348607,348607,42,0.6691859357660213,0.47275709111471625,0.441314707622312,20,0.3815135061740875,0.23488037288188934,1,trial_0021_history=5_kernel_sizes=5x5_conv_channels=256x128_fc_dims=256,completed,"{'kernel_sizes': [5, 5], 'conv_channels': [256, 128], 'fc_dims': [256], 'history': 5}"
results/multilayer_cnn_hist_sweep_2026-02-23_23-15-16/trial_0022_history=5_kernel_sizes=10x10_conv_channels=256x128_fc_dims=256,cnn,0.16819939851760865,0.2321686769405428,0.2367293687210484,646847,646847,32,0.6229115780082127,0.47275709111471625,0.44065220103013414,20,0.3815135061740875,0.2425014227628708,2,trial_0022_history=5_kernel_sizes=10x10_conv_channels=256x128_fc_dims=256,completed,"{'kernel_sizes': [10, 10], 'conv_channels': [256, 128], 'fc_dims': [256], 'history': 5}"
results/multilayer_cnn_hist_sweep_2026-02-23_23-15-16/trial_0023_history=5_kernel_sizes=3x5_conv_channels=256x128_fc_dims=256,cnn,0.16997029972076416,0.2277307669381823,0.22725800637945204,294847,294847,45,0.6639657208378753,0.47275709111471625,0.4376529350002015,18,0.3815135061740875,0.23376859724521637,1,trial_0023_history=5_kernel_sizes=3x5_conv_channels=256x128_fc_dims=256,completed,"{'kernel_sizes': [3, 5], 'conv_channels': [256, 128], 'fc_dims': [256], 'history': 5}"
results/multilayer_cnn_hist_sweep_2026-02-23_23-15-16/trial_0024_history=5_kernel_sizes=5x10_conv_channels=256x128_fc_dims=256,cnn,0.16753902626037598,0.24060172652346132,0.2408181510336109,512447,512447,40,0.6617790026971444,0.47275709111471625,0.45086583012972864,19,0.3815135061740875,0.2487783282995224,4,trial_0024_history=5_kernel_sizes=5x10_conv_channels=256x128_fc_dims=256,completed,"{'kernel_sizes': [5, 10], 'conv_channels': [256, 128], 'fc_dims': [256], 'history': 5}"
results/multilayer_cnn_hist_sweep_2026-02-23_23-15-16/trial_0025_history=5_kernel_sizes=3x3_conv_channels=128x64_fc_dims=256,cnn,0.1711284512281418,0.2209390311077625,0.21930885003029052,98303,98303,50,0.6411466895779867,0.47275709111471625,0.4041903971639332,15,0.3815135061740875,0.22542348504066467,1,trial_0025_history=5_kernel_sizes=3x3_conv_channels=128x64_fc_dims=256,completed,"{'kernel_sizes': [3, 3], 'conv_channels': [128, 64], 'fc_dims': [256], 'history': 5}"
results/multilayer_cnn_hist_sweep_2026-02-23_23-15-16/trial_0026_history=5_kernel_sizes=5x5_conv_channels=128x64_fc_dims=256,cnn,0.16907645535469054,0.22815451252942615,0.2266137193546063,141567,141567,50,0.6417725952169435,0.47275709111471625,0.4254681312394384,16,0.3815135061740875,0.23439110815525055,2,trial_0026_history=5_kernel_sizes=5x5_conv_channels=128x64_fc_dims=256,completed,"{'kernel_sizes': [5, 5], 'conv_channels': [128, 64], 'fc_dims': [256], 'history': 5}"
results/multilayer_cnn_hist_sweep_2026-02-23_23-15-16/trial_0027_history=5_kernel_sizes=10x10_conv_channels=128x64_fc_dims=256,cnn,0.16807491505146027,0.23285834043897408,0.23457313567208976,249727,249727,50,0.6101411053297722,0.47275709111471625,0.4269036964506255,19,0.3815135061740875,0.24171967804431915,3,trial_0027_history=5_kernel_sizes=10x10_conv_channels=128x64_fc_dims=256,completed,"{'kernel_sizes': [10, 10], 'conv_channels': [128, 64], 'fc_dims': [256], 'history': 5}"
results/multilayer_cnn_hist_sweep_2026-02-23_23-15-16/trial_0028_history=5_kernel_sizes=3x5_conv_channels=128x64_fc_dims=256,cnn,0.16939520657062532,0.22925200733691,0.2267706778484613,114687,114687,50,0.6440652306722494,0.47275709111471625,0.414638439998957,17,0.3815135061740875,0.23480869829654694,2,trial_0028_history=5_kernel_sizes=3x5_conv_channels=128x64_fc_dims=256,completed,"{'kernel_sizes': [3, 5], 'conv_channels': [128, 64], 'fc_dims': [256], 'history': 5}"
results/multilayer_cnn_hist_sweep_2026-02-23_23-15-16/trial_0029_history=5_kernel_sizes=5x10_conv_channels=128x64_fc_dims=256,cnn,0.166892192363739,0.23801783022473982,0.237116806941658,182527,182527,50,0.6359572723996576,0.47275709111471625,0.4318555957213181,18,0.3815135061740875,0.2459862381219864,4,trial_0029_history=5_kernel_sizes=5x10_conv_channels=128x64_fc_dims=256,completed,"{'kernel_sizes': [5, 10], 'conv_channels': [128, 64], 'fc_dims': [256], 'history': 5}"
