config_id,batch_avg_test_loss_mean,batch_avg_test_loss_sem,batch_avg_test_loss_count,batch_avg_test_corr_mean,batch_avg_test_corr_sem,batch_avg_test_corr_count,all_test_fve_mean,all_test_fve_sem,all_test_fve_count,AR_FVE_mean,AR_FVE_sem,AR_FVE_count,AR_test_correlation_mean,AR_test_correlation_sem,AR_test_correlation_count,best_val_corr_mean,best_val_corr_sem,best_val_corr_count,total_params_mean,total_params_sem,total_params_count,trainable_params_mean,trainable_params_sem,trainable_params_count,epochs_trained_mean,epochs_trained_sem,epochs_trained_count,mean_pattern_corr_mean,mean_pattern_corr_sem,mean_pattern_corr_count,history_mean,history_sem,history_count,loo_avg_mean_corr_mean,loo_avg_mean_corr_sem,loo_avg_mean_corr_count,model_avg_mean_corr_mean,model_avg_mean_corr_sem,model_avg_mean_corr_count,neurons_model_beats_loo_avg_mean,neurons_model_beats_loo_avg_sem,neurons_model_beats_loo_avg_count,loo_temporal_mean_corr_mean,loo_temporal_mean_corr_sem,loo_temporal_mean_corr_count,all_test_corr_mean,all_test_corr_sem,all_test_corr_count,neurons_model_beats_loo_temporal_mean,neurons_model_beats_loo_temporal_sem,neurons_model_beats_loo_temporal_count,wall_time_s_mean,wall_time_s_sem,wall_time_s_count
00a8178681,0.16760915547609329,0.00017624121904374207,2,0.14023410058144328,0.0031085029367547423,2,0.025156589254500372,0.0009264032992105627,2,0.02235589661295452,0.0004725129831404931,2,0.13488679379224777,0.001949600875377655,2,0.14708832722508675,0.00026175559313047075,2,90687.0,0.0,2,90687.0,0.0,2,50.0,0.0,2,0.5023210922456861,0.010938716649941102,2,20.0,0.0,2,0.45456832695830385,0.0,2,0.35731057937195454,0.004884384154934987,2,10.0,1.0,2,0.31855225563049316,0.0,2,0.14578469097614288,0.0029783546924591064,2,0.5,0.5,2,379.25,2.25,2
00ec269942,0.167315458714962,0.00016506832838059093,2,0.14043951963399526,3.698622446737104e-05,2,0.021001131288588992,0.00026963864053998563,2,0.01550616158379449,0.0001767173645988349,2,0.12504294142127037,0.0003965534269809723,2,0.14607802224343436,0.0012619783944245802,2,321727.0,0.0,2,321727.0,0.0,2,50.0,0.0,2,0.5232883467403076,0.004169775566758571,2,10.0,0.0,2,0.45456832695830385,0.0,2,0.3756177715487191,8.252823614741944e-05,2,11.0,0.0,2,0.31855225563049316,0.0,2,0.14736461639404297,0.00014030933380126953,2,1.0,0.0,2,598.6,15.600000000000023,2
01376c7fff,0.17174804598093033,0.000453719198703767,2,0.12173668931581094,0.0034951530314194824,2,0.006090076196761359,0.0010757219223749067,2,0.006008031822386242,0.00074649140948341,2,0.11912399902939796,0.003058340400457382,2,0.12677650169134755,0.004495975551097816,2,248639.0,0.0,2,248639.0,0.0,2,50.0,0.0,2,0.45882464052756405,0.027828744725173715,2,20.0,0.0,2,0.45456832695830385,0.0,2,0.33550320358711705,0.016334532768868204,2,8.0,1.0,2,0.31855225563049316,0.0,2,0.12715955078601837,0.003985494375228882,2,1.0,0.0,2,348.6,0.8999999999999915,2
0144a9e534,0.16972531032562255,0.0010646324157714826,2,0.1350241739137666,0.0008634021686002094,2,0.017456879218419395,0.0038663863189636717,2,0.016068002534291102,0.003433322149609762,2,0.13111787289381027,0.0004788711667060852,2,0.14089383979919143,0.001182784185963598,2,248639.0,0.0,2,248639.0,0.0,2,19.0,1.0,2,0.510142156742301,0.0065422322744638495,2,20.0,0.0,2,0.45456832695830385,0.0,2,0.3651647216686772,0.006725864732842812,2,10.5,0.5,2,0.31855225563049316,0.0,2,0.14072877168655396,0.001133352518081665,2,1.0,0.0,2,220.3,5.899999999999999,2
0191f9b1bb,0.1489593935608864,0.00015606456995009843,2,0.26519115290423834,0.0007333703223832422,2,0.08510914728755042,0.0008347389243897989,2,-0.015266302559110854,0.0010126493279896086,2,0.05675588361918926,0.0035418402403593063,2,0.2744572361441603,0.00039410522787587665,2,238143.0,0.0,2,238143.0,0.0,2,50.0,0.0,2,0.7278795813202557,0.00335307027945822,2,1.0,0.0,2,0.45456832695830385,0.0,2,0.5892286041847505,0.0017755008035267028,2,52.0,0.0,2,0.31855225563049316,0.0,2,0.27488090097904205,0.000742599368095398,2,16.5,0.5,2,569.75,1.5499999999999545,2
01c3527211,0.1695798504948616,0.000530865609645853,2,0.14875941693525999,0.0012228818979254374,2,0.004619640963418143,0.002226505960736956,2,0.005581715277263096,0.0021153182264358277,2,0.13314013183116913,0.0020109713077545166,2,0.15552818792518455,0.000417841307143757,2,494399.0,0.0,2,494399.0,0.0,2,30.0,0.0,2,0.5756928605903918,0.01888971094725822,2,5.0,0.0,2,0.45456832695830385,0.0,2,0.417894840809518,0.009299251094335728,2,13.5,0.5,2,0.31855225563049316,0.0,2,0.15483654290437698,0.000974602997303009,2,2.0,0.0,2,438.85,0.25,2
01c8ad87ed,0.16927172178030014,0.00024852234125136846,2,0.13022507332982544,0.0019161301212941295,2,0.016292619326758004,0.000826741021776955,2,0.015111417051345583,0.000675124781472343,2,0.12523548677563667,0.0023410581052303314,2,0.13668191109901534,0.0015690789468581767,2,238143.0,0.0,2,238143.0,0.0,2,50.0,0.0,2,0.5006818676735977,0.00011623641681557384,2,20.0,0.0,2,0.45456832695830385,0.0,2,0.35393365564827484,0.00013884083032679462,2,11.0,0.0,2,0.31855225563049316,0.0,2,0.1355099081993103,0.0018299221992492676,2,1.0,0.0,2,556.0,1.5,2
02a159b840,0.16970566493272782,0.00037795764207840254,2,0.1325943208186389,0.0006866397705989347,2,0.018419824422351898,0.0007110782085903121,2,0.017666536191153145,0.0009734616393134712,2,0.1305427849292755,0.001112326979637146,2,0.13753515272090838,0.000951573532767043,2,69951.0,0.0,2,69951.0,0.0,2,44.5,5.5,2,0.4851199879342336,0.006702838702974709,2,20.0,0.0,2,0.45456832695830385,0.0,2,0.3433248143326544,0.006566542100505557,2,8.5,0.5,2,0.31855225563049316,0.0,2,0.13797155022621155,0.0007222145795822144,2,1.0,0.0,2,234.4,11.5,2
02c56fc361,0.16996973937749865,0.0014670104384422386,2,0.13414233528420505,0.001329333837196689,2,0.012673483008430119,0.007706561731913734,2,0.011761234866248237,0.007783181137508816,2,0.13261860609054565,0.0014296919107437134,2,0.13865122544590353,0.001200110019622315,2,248639.0,0.0,2,248639.0,0.0,2,33.0,4.0,2,0.5190234674637286,0.004579206856468093,2,20.0,0.0,2,0.45456832695830385,0.0,2,0.367938419476381,0.004520064118664402,2,10.0,1.0,2,0.31855225563049316,0.0,2,0.13984712213277817,0.000968150794506073,2,1.0,0.0,2,269.05,15.95000000000001,2
02fbec39cc,0.1684315831065178,0.0002014395594596985,2,0.13591237413547638,0.0021439212583375666,2,0.021578626027182926,0.0010634812097700813,2,0.017318711867408146,0.0011542084671202152,2,0.1280774623155594,0.0027460306882858276,2,0.1455265607213173,0.00011708296323204026,2,640063.0,0.0,2,640063.0,0.0,2,23.0,1.0,2,0.5118269575765322,0.011790307000360406,2,20.0,0.0,2,0.45456832695830385,0.0,2,0.3647471308700645,0.0059658198789591665,2,10.0,1.0,2,0.31855225563049316,0.0,2,0.14136438071727753,0.002536594867706299,2,1.0,0.0,2,347.1,11.90000000000002,2
