run_dir,model_type,test_loss,test_corr,best_val_corr,total_params,trainable_params,epochs_trained,mean_pattern_corr,loo_avg_mean_corr,model_avg_mean_corr,neurons_model_beats_loo_avg,loo_temporal_mean_corr,model_temporal_mean_corr,neurons_model_beats_loo_temporal,experiment,status,kernel_sizes,weight_decay,conv_channels,history
results/hist_cnn_initstate_v3_2026-02-19_18-40-39/trial_0000_history=1,cnn,0.16069768857955932,0.28792051148881315,0.29510453236590883,163391,163391,50,0.7594142163739277,0.47275709111471625,0.6107469161928931,51,0.3815135061740875,0.2972864806652069,5,trial_0000_history=1,completed,[3],0.0,[256],1
results/hist_cnn_initstate_v3_2026-02-19_18-40-39/trial_0001_history=2,cnn,0.16336049282550813,0.27469679933774954,0.28376450445611506,163391,163391,48,0.763635831307641,0.47275709111471625,0.6241627311163722,57,0.3815135061740875,0.28442487120628357,4,trial_0001_history=2,completed,[3],0.0,[256],2
results/hist_cnn_initstate_v3_2026-02-19_18-40-39/trial_0002_history=3,cnn,0.16951929140090943,0.2332562781706213,0.2364294803522122,163391,163391,50,0.6990679529684709,0.47275709111471625,0.5090427405916113,32,0.3815135061740875,0.24021539092063904,1,trial_0002_history=3,completed,[3],0.0,[256],3
results/hist_cnn_initstate_v3_2026-02-19_18-40-39/trial_0003_history=4,cnn,0.16925973415374757,0.23308332620630445,0.23521901171352955,163391,163391,50,0.70612108215746,0.47275709111471625,0.5109214717302674,35,0.3815135061740875,0.24016742408275604,1,trial_0003_history=4,completed,[3],0.0,[256],4
results/hist_cnn_initstate_v3_2026-02-19_18-40-39/trial_0004_history=5,cnn,0.17261285734176635,0.2129979339299348,0.21029211601585415,163391,163391,50,0.6574791528251813,0.47275709111471625,0.43406844896255226,16,0.3815135061740875,0.21775980293750763,1,trial_0004_history=5,completed,[3],0.0,[256],5
results/hist_cnn_initstate_v3_2026-02-19_18-40-39/trial_0005_history=10,cnn,0.1742052707672119,0.20676079807505313,0.20472035565686064,163391,163391,48,0.6478422619980235,0.47275709111471625,0.4199308167024968,14,0.3815135061740875,0.21191048622131348,1,trial_0005_history=10,completed,[3],0.0,[256],10
results/hist_cnn_initstate_v3_2026-02-19_18-40-39/trial_0006_history=20,cnn,0.17496868979930877,0.20224088241731014,0.19892580423184153,163391,163391,44,0.6187655352990727,0.47275709111471625,0.4103397508107535,12,0.3815135061740875,0.20784498751163483,1,trial_0006_history=20,completed,[3],0.0,[256],20
results/hist_cnn_initstate_v3_2026-02-19_18-40-39/trial_0007_history=1,cnn,0.16081808722019195,0.2876523374692332,0.29435346434329696,163391,163391,50,0.7606925445884015,0.47275709111471625,0.6135061411629693,52,0.3815135061740875,0.2973293662071228,5,trial_0007_history=1,completed,[3],0.0001,[256],1
results/hist_cnn_initstate_v3_2026-02-19_18-40-39/trial_0008_history=2,cnn,0.16345429909229278,0.2750225811186762,0.2830664075454387,163391,163391,50,0.7636416482235592,0.47275709111471625,0.6216348042761873,56,0.3815135061740875,0.2849135994911194,4,trial_0008_history=2,completed,[3],0.0001,[256],2
results/hist_cnn_initstate_v3_2026-02-19_18-40-39/trial_0009_history=3,cnn,0.16932226002216338,0.2334760640534579,0.23499687166217703,163391,163391,46,0.7100397951989678,0.47275709111471625,0.5197639006596619,35,0.3815135061740875,0.24093489348888397,1,trial_0009_history=3,completed,[3],0.0001,[256],3
results/hist_cnn_initstate_v3_2026-02-19_18-40-39/trial_0010_history=4,cnn,0.17000325155258178,0.22956116328871662,0.2326830325253847,163391,163391,37,0.6890595716271283,0.47275709111471625,0.5032035152703423,33,0.3815135061740875,0.23668041825294495,1,trial_0010_history=4,completed,[3],0.0001,[256],4
results/hist_cnn_initstate_v3_2026-02-19_18-40-39/trial_0011_history=5,cnn,0.17274553179740906,0.21213351462161306,0.21058380349119765,163391,163391,44,0.6720145523589393,0.47275709111471625,0.44362607929050324,18,0.3815135061740875,0.21708649396896362,1,trial_0011_history=5,completed,[3],0.0001,[256],5
results/hist_cnn_initstate_v3_2026-02-19_18-40-39/trial_0012_history=10,cnn,0.17386199462413787,0.2076737780447475,0.20419817404242874,163391,163391,47,0.6448907346702054,0.47275709111471625,0.4199801765993925,12,0.3815135061740875,0.21288849413394928,1,trial_0012_history=10,completed,[3],0.0001,[256],10
results/hist_cnn_initstate_v3_2026-02-19_18-40-39/trial_0013_history=20,cnn,0.17466711246967315,0.20356913582687686,0.20118634445138087,163391,163391,43,0.6239839134516081,0.47275709111471625,0.4111983129144026,13,0.3815135061740875,0.2086070030927658,1,trial_0013_history=20,completed,[3],0.0001,[256],20
results/hist_cnn_initstate_v3_2026-02-19_18-40-39/trial_0014_history=1,cnn,0.16058575677871703,0.2874294929201907,0.29291369471743245,217151,217151,45,0.7667694796953922,0.47275709111471625,0.6212640410726705,55,0.3815135061740875,0.2970884144306183,6,trial_0014_history=1,completed,[5],0.0,[256],1
results/hist_cnn_initstate_v3_2026-02-19_18-40-39/trial_0015_history=2,cnn,0.16234603810310363,0.2794398692501457,0.28692734126648306,217151,217151,39,0.756834850505068,0.47275709111471625,0.6180105242199232,55,0.3815135061740875,0.2890818119049072,4,trial_0015_history=2,completed,[5],0.0,[256],2
results/hist_cnn_initstate_v3_2026-02-19_18-40-39/trial_0016_history=3,cnn,0.16801122283935546,0.24263924252758412,0.24309814261817242,217151,217151,47,0.7008592133719945,0.47275709111471625,0.504907202424589,32,0.3815135061740875,0.24987737834453583,2,trial_0016_history=3,completed,[5],0.0,[256],3
results/hist_cnn_initstate_v3_2026-02-19_18-40-39/trial_0017_history=4,cnn,0.16943137156963348,0.2311066978849915,0.2345350202512617,217151,217151,30,0.689618282828471,0.47275709111471625,0.5032432255297894,32,0.3815135061740875,0.23849967122077942,1,trial_0017_history=4,completed,[5],0.0,[256],4
results/hist_cnn_initstate_v3_2026-02-19_18-40-39/trial_0018_history=5,cnn,0.1720741912126541,0.21554518622687555,0.2120129094359538,217151,217151,45,0.6685080064569261,0.47275709111471625,0.43811182608553517,17,0.3815135061740875,0.2208004891872406,1,trial_0018_history=5,completed,[5],0.0,[256],5
results/hist_cnn_initstate_v3_2026-02-19_18-40-39/trial_0019_history=10,cnn,0.17299241995811462,0.20801450763388601,0.21053507785145528,217151,217151,37,0.6486221838511564,0.47275709111471625,0.42706057637359385,14,0.3815135061740875,0.21408310532569885,1,trial_0019_history=10,completed,[5],0.0,[256],10
results/hist_cnn_initstate_v3_2026-02-19_18-40-39/trial_0020_history=20,cnn,0.17469366812705994,0.20077715525124748,0.20190020672602255,217151,217151,34,0.6077376771381202,0.47275709111471625,0.4143239684280167,13,0.3815135061740875,0.20695675909519196,1,trial_0020_history=20,completed,[5],0.0,[256],20
results/hist_cnn_initstate_v3_2026-02-19_18-40-39/trial_0021_history=1,cnn,0.16065306794643402,0.286452608070928,0.2930138149834004,217151,217151,42,0.7576296458139979,0.47275709111471625,0.6163607987724669,52,0.3815135061740875,0.2960692048072815,6,trial_0021_history=1,completed,[5],0.0001,[256],1
results/hist_cnn_initstate_v3_2026-02-19_18-40-39/trial_0022_history=2,cnn,0.1622397699356079,0.28197749599022315,0.28975094563635345,217151,217151,49,0.7676992541050546,0.47275709111471625,0.6191577386927073,56,0.3815135061740875,0.29186806082725525,4,trial_0022_history=2,completed,[5],0.0001,[256],2
results/hist_cnn_initstate_v3_2026-02-19_18-40-39/trial_0023_history=3,cnn,0.1683916139602661,0.24136406907630933,0.2439730453854585,217151,217151,50,0.6994966895637215,0.47275709111471625,0.5021782907166807,35,0.3815135061740875,0.24835099279880524,2,trial_0023_history=3,completed,[5],0.0001,[256],3
